Date,Low,Open,Volume,High,Close,Adjusted Close
28-07-2000,210.0,240.0,665400,260.0,250.0,250.0
31-07-2000,230.0,232.5,61900,247.5,237.5,237.5
01-08-2000,235.0,240.0,42300,240.0,238.75,238.75
02-08-2000,236.25,240.0,20200,240.0,240.0,240.0
03-08-2000,235.0,236.25,32200,240.625,236.25,236.25
04-08-2000,235.0,236.875,13400,242.5,240.0,240.0
07-08-2000,237.5,240.0,19400,275.0,268.75,268.75
08-08-2000,278.75,278.75,24400,318.75,300.0,300.0
09-08-2000,273.75,320.0,17400,325.0,273.75,273.75
10-08-2000,240.0,275.0,51100,277.5,260.0,260.0
11-08-2000,247.5,260.0,13800,260.625,256.25,256.25
14-08-2000,250.0,255.0,7500,255.0,250.0,250.0
15-08-2000,245.0,256.25,7100,258.125,246.25,246.25
16-08-2000,245.0,248.75,31600,250.625,250.0,250.0
17-08-2000,247.5,249.375,16200,272.5,272.5,272.5
18-08-2000,266.875,273.75,6900,275.0,275.0,275.0
21-08-2000,266.25,266.875,15300,295.0,290.0,290.0
22-08-2000,281.25,288.75,31100,288.75,285.0,285.0
23-08-2000,285.0,285.0,19600,300.0,300.0,300.0
24-08-2000,295.0,300.0,15000,301.25,295.0,295.0
25-08-2000,285.0,296.875,3200,296.875,295.0,295.0
28-08-2000,298.75,305.0,58200,342.5,335.0,335.0
29-08-2000,330.0,345.0,22300,380.0,340.625,340.625
30-08-2000,335.625,341.25,8900,357.5,355.0,355.0
31-08-2000,355.0,359.6875,24800,470.0,462.5,462.5
01-09-2000,375.0,465.0,32300,465.625,418.75,418.75
05-09-2000,420.0,420.3125,29900,450.625,425.0,425.0
06-09-2000,373.75,431.25,31900,431.25,387.5,387.5
07-09-2000,385.0,391.25,21100,420.0,400.0,400.0
08-09-2000,390.0,397.5,13100,407.5,400.0,400.0
11-09-2000,375.0,396.875,9100,396.875,390.0,390.0
12-09-2000,362.5,386.25,6900,386.25,369.375,369.375
13-09-2000,371.25,371.25,18200,378.75,376.25,376.25
14-09-2000,372.5,378.75,11500,407.5,396.25,396.25
15-09-2000,391.25,399.375,18500,409.375,396.875,396.875
18-09-2000,390.0,398.125,24400,399.375,395.0,395.0
19-09-2000,373.125,395.0,25700,395.0,373.75,373.75
20-09-2000,361.25,381.25,4000,381.25,366.25,366.25
21-09-2000,345.0,366.875,1600,367.5,347.5,347.5
22-09-2000,339.375,348.125,7800,348.75,341.875,341.875
25-09-2000,340.0,341.875,26800,428.75,374.375,374.375
26-09-2000,380.0,390.0,48300,407.5,390.0,390.0
27-09-2000,387.5,392.5,3800,392.5,390.0,390.0
28-09-2000,387.5,387.5,10300,420.0,401.25,401.25
29-09-2000,391.25,406.25,24500,432.5,430.0,430.0
02-10-2000,405.0,421.25,12400,423.75,422.5,422.5
03-10-2000,412.5,417.5,8600,419.375,415.0,415.0
04-10-2000,405.0,406.875,5100,418.75,417.5,417.5
05-10-2000,417.5,417.5,6500,440.0,425.625,425.625
06-10-2000,387.5,395.78125,12200,405.0,390.0,390.0
09-10-2000,382.5,398.75,6400,398.75,384.375,384.375
10-10-2000,320.0,388.75,15800,388.75,333.75,333.75
11-10-2000,322.5,326.25,51500,343.75,337.5,337.5
12-10-2000,325.0,345.625,11300,346.875,336.875,336.875
13-10-2000,333.75,336.875,5500,341.25,333.75,333.75
16-10-2000,300.0,337.5,11800,337.5,330.0,330.0
17-10-2000,300.0,316.25,3400,330.625,301.25,301.25
18-10-2000,293.125,301.25,13700,305.3125,297.5,297.5
19-10-2000,295.0,298.75,15200,305.0,300.0,300.0
20-10-2000,290.0,301.25,8200,302.5,301.25,301.25
23-10-2000,299.375,301.25,9900,305.0,300.0,300.0
24-10-2000,300.0,302.5,13100,330.0,323.75,323.75
25-10-2000,319.375,320.0,10600,365.0,350.0,350.0
26-10-2000,331.25,350.0,3200,357.5,348.59375,348.59375
27-10-2000,338.75,345.0,2100,347.5,341.25,341.25
30-10-2000,320.0,321.25,4300,331.25,330.625,330.625
31-10-2000,331.875,333.125,6200,353.125,349.375,349.375
01-11-2000,345.0,348.75,5000,352.5,345.9375,345.9375
02-11-2000,342.5,344.0625,13200,351.875,348.75,348.75
03-11-2000,355.0,355.78125,4400,363.75,360.0,360.0
06-11-2000,367.5,368.75,19200,415.625,411.25,411.25
07-11-2000,403.75,405.625,1800,422.5,422.5,422.5
08-11-2000,393.75,411.875,1700,427.5,410.0,410.0
09-11-2000,390.0,416.25,14500,419.375,405.0,405.0
10-11-2000,388.75,407.5,2200,407.5,390.15625,390.15625
13-11-2000,345.0,354.21875,3600,356.25,353.75,353.75
14-11-2000,360.0,363.75,4100,372.5,368.75,368.75
15-11-2000,358.75,360.0,9800,373.125,366.875,366.875
16-11-2000,368.75,372.5,16500,373.75,371.25,371.25
17-11-2000,356.25,370.625,14100,371.25,357.5,357.5
20-11-2000,336.25,356.25,18700,356.25,338.75,338.75
21-11-2000,290.0,336.875,19300,338.75,293.125,293.125
