Date,Low,Open,Volume,High,Close,Adjusted Close
07-01-2005,50.0,50.0,400.0,61.0,61.0,61.0
10-01-2005,61.0,61.0,0.0,61.0,61.0,61.0
11-01-2005,61.0,61.0,0.0,61.0,61.0,61.0
12-01-2005,61.0,61.0,0.0,61.0,61.0,61.0
13-01-2005,61.0,61.0,0.0,61.0,61.0,61.0
14-01-2005,61.0,61.0,0.0,61.0,61.0,61.0
18-01-2005,61.0,61.0,0.0,61.0,61.0,61.0
19-01-2005,61.0,61.0,0.0,61.0,61.0,61.0
20-01-2005,61.0,61.0,0.0,61.0,61.0,61.0
21-01-2005,61.0,61.0,0.0,61.0,61.0,61.0
24-01-2005,61.0,61.0,0.0,61.0,61.0,61.0
25-01-2005,61.0,61.0,0.0,61.0,61.0,61.0
26-01-2005,61.0,61.0,0.0,61.0,61.0,61.0
27-01-2005,61.0,61.0,0.0,61.0,61.0,61.0
28-01-2005,61.0,61.0,0.0,61.0,61.0,61.0
31-01-2005,61.0,61.0,0.0,61.0,61.0,61.0
01-02-2005,56.0,56.0,195.0,60.0,60.0,60.0
02-02-2005,60.0,60.0,0.0,60.0,60.0,60.0
03-02-2005,60.0,60.0,0.0,60.0,60.0,60.0
04-02-2005,60.0,60.0,0.0,60.0,60.0,60.0
07-02-2005,60.0,60.0,0.0,60.0,60.0,60.0
08-02-2005,60.0,60.0,0.0,60.0,60.0,60.0
09-02-2005,60.0,60.0,0.0,60.0,60.0,60.0
10-02-2005,60.0,60.0,0.0,60.0,60.0,60.0
11-02-2005,60.0,60.0,0.0,60.0,60.0,60.0
14-02-2005,60.0,60.0,0.0,60.0,60.0,60.0
15-02-2005,60.0,60.0,0.0,60.0,60.0,60.0
16-02-2005,60.0,60.0,0.0,60.0,60.0,60.0
17-02-2005,63.0,63.0,250.0,65.0,64.0,64.0
18-02-2005,62.0,68.0,70.0,68.0,68.0,68.0
22-02-2005,68.0,68.0,0.0,68.0,68.0,68.0
23-02-2005,57.0,57.0,40.0,57.0,57.0,57.0
24-02-2005,57.0,58.0,185.0,60.0,57.0,57.0
25-02-2005,57.0,57.0,0.0,57.0,57.0,57.0
28-02-2005,57.0,57.0,0.0,57.0,57.0,57.0
01-03-2005,57.0,57.0,0.0,57.0,57.0,57.0
02-03-2005,57.0,57.0,0.0,57.0,57.0,57.0
03-03-2005,57.0,57.0,0.0,57.0,57.0,57.0
04-03-2005,55.0,55.0,50.0,57.0,55.0,55.0
07-03-2005,56.0,56.0,75.0,56.0,56.0,56.0
08-03-2005,56.0,56.0,0.0,56.0,56.0,56.0
09-03-2005,58.0,60.0,125.0,61.5,61.5,61.5
10-03-2005,61.5,61.5,0.0,61.5,61.5,61.5
11-03-2005,56.0,58.0,375.0,60.5,58.0,58.0
14-03-2005,56.0,56.0,50.0,56.0,56.0,56.0
15-03-2005,56.0,56.0,50.0,56.0,56.0,56.0
16-03-2005,56.0,56.0,50.0,56.0,56.0,56.0
17-03-2005,56.0,56.0,0.0,56.0,56.0,56.0
18-03-2005,56.0,56.0,0.0,56.0,56.0,56.0
21-03-2005,56.0,56.0,0.0,56.0,56.0,56.0
22-03-2005,61.0,61.0,505.0,65.0,65.0,65.0
23-03-2005,65.0,65.0,0.0,65.0,65.0,65.0
24-03-2005,61.0,66.0,375.0,66.0,61.0,61.0
28-03-2005,61.0,61.0,25.0,61.0,61.0,61.0
29-03-2005,61.0,61.0,0.0,61.0,61.0,61.0
30-03-2005,60.0,60.0,25.0,60.0,60.0,60.0
31-03-2005,60.0,60.0,0.0,60.0,60.0,60.0
01-04-2005,67.0,67.0,310.0,75.0,71.0,71.0
04-04-2005,73.0,73.0,80.0,73.0,73.0,73.0
05-04-2005,65.0,74.0,1005.0,74.0,65.0,65.0
06-04-2005,62.0,64.0,210.0,64.0,62.0,62.0
07-04-2005,62.0,62.0,0.0,62.0,62.0,62.0
08-04-2005,62.0,62.0,0.0,62.0,62.0,62.0
11-04-2005,62.0,62.0,0.0,62.0,62.0,62.0
12-04-2005,58.0,58.0,5.0,58.0,58.0,58.0
13-04-2005,50.0,58.0,225.0,59.0,50.0,50.0
