Date,Low,Open,Volume,High,Close,Adjusted Close
19-03-1987,10.0,10.0,3132400,10.0,10.0,0.8836012482643127
20-03-1987,10.0,10.0,740200,10.0,10.0,0.8836012482643127
23-03-1987,9.875,10.0,286100,10.0,9.875,0.8725560307502747
24-03-1987,9.875,9.875,168900,10.0,9.875,0.8725560307502747
25-03-1987,9.875,10.0,97500,10.0,9.875,0.8725560307502747
26-03-1987,9.875,9.875,123400,10.0,9.875,0.8725560307502747
27-03-1987,9.875,9.875,103500,10.0,9.875,0.8725560307502747
30-03-1987,9.875,9.875,160900,10.0,9.875,0.8725560307502747
31-03-1987,9.875,9.875,146100,10.0,9.875,0.8725560307502747
01-04-1987,9.75,9.75,49800,9.875,9.75,0.8615114688873291
02-04-1987,9.625,9.625,77500,9.75,9.625,0.8504664301872253
03-04-1987,9.5,9.625,183400,9.75,9.625,0.8504664301872253
06-04-1987,9.5,9.625,41500,9.625,9.625,0.8504664301872253
07-04-1987,9.5,9.5,51400,9.625,9.625,0.8504664301872253
08-04-1987,9.5,9.625,29000,9.625,9.625,0.8504664301872253
09-04-1987,9.5,9.5,30800,9.625,9.625,0.8504664301872253
10-04-1987,9.5,9.5,24000,9.625,9.625,0.8504664301872253
13-04-1987,9.5,9.5,30800,9.625,9.5,0.8394215703010559
14-04-1987,8.875,9.375,59000,9.5,9.0,0.7952408790588379
15-04-1987,8.875,9.125,47000,9.25,9.0,0.7952408790588379
16-04-1987,9.0,9.125,58500,9.375,9.25,0.8173315525054932
20-04-1987,9.25,9.375,34300,9.5,9.25,0.8173315525054932
21-04-1987,9.125,9.125,24100,9.25,9.125,0.8062865138053894
22-04-1987,9.125,9.25,37100,9.5,9.375,0.8283762335777283
23-04-1987,9.25,9.375,30800,9.5,9.375,0.8283762335777283
24-04-1987,9.125,9.125,25500,9.375,9.125,0.810175359249115
27-04-1987,9.125,9.25,16400,9.25,9.25,0.8212735652923584
28-04-1987,9.125,9.125,31300,9.5,9.375,0.8323714733123779
29-04-1987,9.25,9.375,14900,9.5,9.5,0.8434708714485168
30-04-1987,9.375,9.5,15800,9.5,9.5,0.8434708714485168
01-05-1987,9.25,9.375,10300,9.5,9.375,0.8323714733123779
04-05-1987,9.25,9.375,7600,9.375,9.25,0.8212735652923584
05-05-1987,9.25,9.25,10900,9.5,9.25,0.8212735652923584
06-05-1987,9.25,9.375,16700,9.5,9.375,0.8323714733123779
07-05-1987,9.25,9.375,13900,9.5,9.375,0.8323714733123779
08-05-1987,9.25,9.375,10800,9.5,9.25,0.8212735652923584
11-05-1987,9.25,9.25,19500,9.375,9.375,0.8323714733123779
12-05-1987,9.125,9.25,25000,9.375,9.375,0.8323714733123779
13-05-1987,9.25,9.375,28100,9.375,9.25,0.8212735652923584
14-05-1987,9.125,9.25,27300,9.375,9.25,0.8212735652923584
15-05-1987,9.125,9.25,15200,9.375,9.25,0.8212735652923584
18-05-1987,9.0,9.125,27900,9.25,9.125,0.810175359249115
19-05-1987,9.0,9.0,27000,9.25,9.125,0.810175359249115
20-05-1987,9.0,9.0,34000,9.375,9.125,0.810175359249115
21-05-1987,9.125,9.125,20000,9.25,9.125,0.810175359249115
22-05-1987,9.0,9.25,13700,9.25,9.25,0.8262539505958557
26-05-1987,9.125,9.25,19300,9.375,9.25,0.8262539505958557
27-05-1987,9.0,9.375,22100,9.375,9.125,0.8150883316993713
