Date,Low,Open,Volume,High,Close,Adjusted Close
08-09-2009,40.0,40.0,50.0,40.0,40.0,40.0
09-09-2009,39.79999923706055,40.0,260.0,41.0,41.0,41.0
10-09-2009,37.0,39.599998474121094,650.0,40.0,40.0,40.0
11-09-2009,35.20000076293945,40.0,616.0,40.0,35.20000076293945,35.20000076293945
14-09-2009,35.0,40.0,420.0,40.0,35.0,35.0
15-09-2009,,,,,,
16-09-2009,,,,,,
17-09-2009,35.400001525878906,40.0,548.0,40.0,35.400001525878906,35.400001525878906
18-09-2009,40.0,44.0,150.0,44.0,40.0,40.0
21-09-2009,35.20000076293945,35.20000076293945,660.0,44.0,40.0,40.0
22-09-2009,40.0,45.0,300.0,45.0,40.0,40.0
23-09-2009,39.0,42.0,456.0,44.79999923706055,39.0,39.0
24-09-2009,,,,,,
25-09-2009,42.0,50.0,740.0,50.0,48.0,48.0
28-09-2009,50.0,50.0,254.0,56.0,56.0,56.0
29-09-2009,48.0,60.0,1368.0,60.0,58.0,58.0
30-09-2009,52.599998474121094,58.0,360.0,58.0,55.0,55.0
01-10-2009,47.0,53.0,100.0,53.0,47.0,47.0
02-10-2009,55.0,55.0,75.0,55.0,55.0,55.0
05-10-2009,55.0,55.20000076293945,323.0,55.20000076293945,55.20000076293945,55.20000076293945
06-10-2009,55.20000076293945,55.20000076293945,75.0,55.20000076293945,55.20000076293945,55.20000076293945
07-10-2009,51.0,56.0,509.0,56.0,52.0,52.0
08-10-2009,50.0,50.0,48.0,59.0,59.0,59.0
09-10-2009,57.79999923706055,57.79999923706055,42.0,57.79999923706055,57.79999923706055,57.79999923706055
12-10-2009,50.0,55.0,518.0,55.0,50.0,50.0
13-10-2009,54.0,54.0,80.0,54.0,54.0,54.0
14-10-2009,52.0,52.0,25.0,52.0,52.0,52.0
15-10-2009,,,,,,
16-10-2009,,,,,,
19-10-2009,52.0,56.0,186.0,56.0,56.0,56.0
20-10-2009,50.0,56.0,425.0,56.0,50.0,50.0
21-10-2009,52.0,52.0,90.0,52.0,52.0,52.0
22-10-2009,51.20000076293945,52.0,224.0,52.0,52.0,52.0
23-10-2009,50.0,51.20000076293945,178.0,52.0,52.0,52.0
26-10-2009,52.0,52.0,65.0,52.0,52.0,52.0
27-10-2009,50.0,50.0,503.0,52.20000076293945,50.0,50.0
28-10-2009,50.0,50.0,184.0,50.0,50.0,50.0
29-10-2009,54.0,54.0,35.0,54.0,54.0,54.0
30-10-2009,50.0,50.0,35.0,50.0,50.0,50.0
02-11-2009,,,,,,
03-11-2009,46.0,51.0,200.0,51.0,46.0,46.0
04-11-2009,,,,,,
05-11-2009,51.0,51.0,162.0,54.0,54.0,54.0
06-11-2009,51.0,51.0,175.0,51.0,51.0,51.0
09-11-2009,,,,,,
10-11-2009,,,,,,
11-11-2009,,,,,,
12-11-2009,,,,,,
13-11-2009,49.0,49.0,850.0,59.79999923706055,58.0,58.0
16-11-2009,55.0,55.0,417.0,57.79999923706055,57.79999923706055,57.79999923706055
17-11-2009,50.0,55.0,85.0,55.0,50.0,50.0
18-11-2009,50.0,50.0,105.0,53.0,53.0,53.0
19-11-2009,53.0,53.0,135.0,53.0,53.0,53.0
