Date,Low,Open,Volume,High,Close,Adjusted Close
30-01-2014,121.94999694824219,148.5,117300,152.25,122.69999694824219,122.69999694824219
31-01-2014,118.94999694824219,120.0,18800,129.60000610351562,127.05000305175781,127.05000305175781
03-02-2014,118.5,125.25,7800,130.1999969482422,120.0,120.0
04-02-2014,111.75,120.0,25200,120.1500015258789,112.5,112.5
05-02-2014,112.5,112.5,5500,115.5,115.5,115.5
06-02-2014,112.5,112.6500015258789,1000,119.25,117.9000015258789,117.9000015258789
07-02-2014,112.5,119.8499984741211,3500,120.0,112.94999694824219,112.94999694824219
10-02-2014,112.5,117.0,7200,117.0,112.6500015258789,112.6500015258789
11-02-2014,112.5,112.5,3300,116.25,115.3499984741211,115.3499984741211
12-02-2014,112.5,115.5,2600,115.5,113.4000015258789,113.4000015258789
13-02-2014,112.5,112.5,1700,114.5999984741211,114.0,114.0
14-02-2014,113.0999984741211,116.25,1300,116.25,113.25,113.25
18-02-2014,112.5,115.3499984741211,2200,115.3499984741211,112.5,112.5
19-02-2014,112.5,113.55000305175781,2200,114.0,112.5,112.5
20-02-2014,112.5,114.30000305175781,2300,116.25,113.4000015258789,113.4000015258789
21-02-2014,112.5,115.05000305175781,1300,115.05000305175781,113.55000305175781,113.55000305175781
24-02-2014,130.35000610351562,137.5500030517578,214200,220.1999969482422,142.5,142.5
25-02-2014,138.4499969482422,152.6999969482422,71400,163.5,161.85000610351562,161.85000610351562
26-02-2014,150.75,163.5,30200,183.3000030517578,171.14999389648438,171.14999389648438
27-02-2014,168.0,173.6999969482422,16600,189.0,188.10000610351562,188.10000610351562
28-02-2014,169.1999969482422,194.10000610351562,12500,194.10000610351562,169.5,169.5
03-03-2014,157.9199981689453,174.14999389648438,5100,174.14999389648438,162.60000610351562,162.60000610351562
04-03-2014,164.6999969482422,164.6999969482422,8200,177.4499969482422,177.4499969482422,177.4499969482422
05-03-2014,164.86500549316406,177.3000030517578,8100,181.1999969482422,169.5,169.5
06-03-2014,167.10000610351562,168.75,3900,177.17999267578125,173.10000610351562,173.10000610351562
07-03-2014,166.5,176.25,6200,176.6999969482422,172.5,172.5
10-03-2014,164.39999389648438,174.0,6000,176.39999389648438,173.85000610351562,173.85000610351562
11-03-2014,171.02999877929688,173.6999969482422,8800,189.89999389648438,184.0500030517578,184.0500030517578
12-03-2014,183.14999389648438,187.5,12600,208.64999389648438,203.10000610351562,203.10000610351562
13-03-2014,207.0,208.5,15000,232.1999969482422,219.89999389648438,219.89999389648438
