Date,Low,Open,Volume,High,Close,Adjusted Close
11-12-2007,41.0,41.0,94.0,41.0,41.0,26.685361862182617
12-12-2007,,,,,,
13-12-2007,,,,,,
14-12-2007,,,,,,
17-12-2007,,,,,,
18-12-2007,,,,,,
19-12-2007,,,,,,
20-12-2007,,,,,,
21-12-2007,,,,,,
27-12-2007,,,,,,
28-12-2007,,,,,,
02-01-2008,,,,,,
03-01-2008,,,,,,
04-01-2008,,,,,,
07-01-2008,,,,,,
08-01-2008,,,,,,
09-01-2008,,,,,,
10-01-2008,,,,,,
11-01-2008,,,,,,
14-01-2008,,,,,,
15-01-2008,,,,,,
16-01-2008,,,,,,
17-01-2008,,,,,,
18-01-2008,,,,,,
21-01-2008,,,,,,
22-01-2008,,,,,,
23-01-2008,,,,,,
24-01-2008,,,,,,
25-01-2008,,,,,,
28-01-2008,,,,,,
29-01-2008,,,,,,
30-01-2008,,,,,,
31-01-2008,,,,,,
01-02-2008,,,,,,
04-02-2008,,,,,,
05-02-2008,,,,,,
06-02-2008,,,,,,
07-02-2008,,,,,,
08-02-2008,,,,,,
11-02-2008,,,,,,
12-02-2008,,,,,,
13-02-2008,,,,,,
14-02-2008,,,,,,
15-02-2008,,,,,,
18-02-2008,,,,,,
19-02-2008,,,,,,
20-02-2008,,,,,,
21-02-2008,,,,,,
22-02-2008,,,,,,
25-02-2008,,,,,,
26-02-2008,,,,,,
27-02-2008,,,,,,
28-02-2008,,,,,,
29-02-2008,,,,,,
03-03-2008,,,,,,
04-03-2008,,,,,,
05-03-2008,,,,,,
06-03-2008,,,,,,
07-03-2008,,,,,,
10-03-2008,,,,,,
11-03-2008,,,,,,
12-03-2008,,,,,,
13-03-2008,,,,,,
14-03-2008,,,,,,
17-03-2008,,,,,,
18-03-2008,,,,,,
19-03-2008,,,,,,
20-03-2008,,,,,,
25-03-2008,,,,,,
26-03-2008,,,,,,
27-03-2008,,,,,,
28-03-2008,,,,,,
31-03-2008,,,,,,
01-04-2008,,,,,,
02-04-2008,,,,,,
03-04-2008,,,,,,
04-04-2008,,,,,,
07-04-2008,,,,,,
08-04-2008,,,,,,
09-04-2008,,,,,,
10-04-2008,,,,,,
11-04-2008,,,,,,
14-04-2008,,,,,,
15-04-2008,,,,,,
16-04-2008,,,,,,
17-04-2008,,,,,,
18-04-2008,,,,,,
21-04-2008,,,,,,
22-04-2008,,,,,,
23-04-2008,,,,,,
24-04-2008,,,,,,
25-04-2008,,,,,,
28-04-2008,,,,,,
29-04-2008,,,,,,
30-04-2008,,,,,,
02-05-2008,,,,,,
05-05-2008,,,,,,
06-05-2008,,,,,,
07-05-2008,,,,,,
08-05-2008,,,,,,
09-05-2008,,,,,,
12-05-2008,,,,,,
13-05-2008,,,,,,
14-05-2008,,,,,,
15-05-2008,,,,,,
16-05-2008,,,,,,
19-05-2008,,,,,,
20-05-2008,,,,,,
21-05-2008,,,,,,
22-05-2008,,,,,,
23-05-2008,,,,,,
26-05-2008,,,,,,
27-05-2008,,,,,,
28-05-2008,,,,,,
29-05-2008,,,,,,
30-05-2008,,,,,,
02-06-2008,,,,,,
03-06-2008,,,,,,
04-06-2008,,,,,,
05-06-2008,,,,,,
06-06-2008,,,,,,
09-06-2008,,,,,,
10-06-2008,,,,,,
11-06-2008,,,,,,
12-06-2008,,,,,,
13-06-2008,,,,,,
16-06-2008,,,,,,
17-06-2008,,,,,,
18-06-2008,,,,,,
19-06-2008,,,,,,
20-06-2008,,,,,,
23-06-2008,,,,,,
24-06-2008,,,,,,
25-06-2008,,,,,,
26-06-2008,,,,,,
27-06-2008,,,,,,
30-06-2008,,,,,,
01-07-2008,,,,,,
02-07-2008,,,,,,
03-07-2008,,,,,,
04-07-2008,,,,,,
07-07-2008,,,,,,
08-07-2008,,,,,,
09-07-2008,,,,,,
10-07-2008,,,,,,
11-07-2008,,,,,,
14-07-2008,,,,,,
15-07-2008,,,,,,
16-07-2008,,,,,,
17-07-2008,,,,,,
18-07-2008,,,,,,
21-07-2008,,,,,,
22-07-2008,,,,,,
23-07-2008,,,,,,
24-07-2008,,,,,,
25-07-2008,,,,,,
28-07-2008,,,,,,
29-07-2008,,,,,,
30-07-2008,,,,,,
31-07-2008,,,,,,
01-08-2008,,,,,,
04-08-2008,,,,,,
05-08-2008,,,,,,
06-08-2008,,,,,,
07-08-2008,,,,,,
08-08-2008,,,,,,
11-08-2008,,,,,,
12-08-2008,,,,,,
13-08-2008,,,,,,
14-08-2008,,,,,,
15-08-2008,,,,,,
18-08-2008,,,,,,
19-08-2008,,,,,,
20-08-2008,,,,,,
21-08-2008,,,,,,
22-08-2008,,,,,,
25-08-2008,,,,,,
26-08-2008,,,,,,
27-08-2008,45.599998474121094,45.599998474121094,494.0,45.599998474121094,45.599998474121094,29.6793270111084
28-08-2008,46.0,46.0,242.0,46.0,46.0,29.939674377441406
29-08-2008,46.0,46.0,7.0,46.0,46.0,29.939674377441406
01-09-2008,48.0,48.0,26.0,48.0,48.0,31.241405487060547
02-09-2008,,,,,,
03-09-2008,,,,,,
04-09-2008,,,,,,
05-09-2008,,,,,,
08-09-2008,,,,,,
09-09-2008,48.7599983215332,48.7599983215332,36.0,48.7599983215332,48.7599983215332,31.73604965209961
10-09-2008,,,,,,
11-09-2008,,,,,,
12-09-2008,,,,,,
15-09-2008,45.900001525878906,45.900001525878906,17.0,45.900001525878906,45.900001525878906,29.874591827392578
16-09-2008,47.20000076293945,47.20000076293945,62.0,47.20000076293945,47.20000076293945,30.7207088470459
17-09-2008,,,,,,
18-09-2008,,,,,,
19-09-2008,,,,,,
22-09-2008,,,,,,
23-09-2008,,,,,,
24-09-2008,,,,,,
25-09-2008,,,,,,
26-09-2008,,,,,,
29-09-2008,,,,,,
30-09-2008,,,,,,
01-10-2008,,,,,,
02-10-2008,,,,,,
03-10-2008,,,,,,
06-10-2008,,,,,,
07-10-2008,,,,,,
08-10-2008,,,,,,
09-10-2008,,,,,,
10-10-2008,41.0,41.0,36.0,41.0,41.0,26.685361862182617
13-10-2008,48.0,48.0,25.0,48.0,48.0,31.241405487060547
14-10-2008,,,,,,
15-10-2008,47.79999923706055,47.79999923706055,20.0,47.79999923706055,47.79999923706055,31.111236572265625
16-10-2008,44.0099983215332,44.0099983215332,20.0,44.0099983215332,44.0099983215332,28.644468307495117
17-10-2008,,,,,,
20-10-2008,,,,,,
21-10-2008,,,,,,
22-10-2008,50.790000915527344,50.790000915527344,83.0,50.790000915527344,50.790000915527344,33.05731201171875
23-10-2008,,,,,,
24-10-2008,,,,,,
27-10-2008,,,,,,
28-10-2008,,,,,,
29-10-2008,,,,,,
30-10-2008,,,,,,
31-10-2008,,,,,,
03-11-2008,,,,,,
04-11-2008,,,,,,
05-11-2008,,,,,,
06-11-2008,53.0,53.0,18.0,53.0,53.0,34.49571228027344
07-11-2008,,,,,,
10-11-2008,53.0,53.0,79.0,53.0,53.0,34.49571228027344
11-11-2008,53.0,53.0,19.0,53.0,53.0,34.49571228027344
12-11-2008,52.0,52.0,10.0,52.0,52.0,33.844852447509766
13-11-2008,,,,,,
14-11-2008,,,,,,
17-11-2008,,,,,,
18-11-2008,,,,,,
19-11-2008,,,,,,
20-11-2008,,,,,,
21-11-2008,,,,,,
24-11-2008,,,,,,
25-11-2008,,,,,,
26-11-2008,,,,,,
27-11-2008,,,,,,
28-11-2008,,,,,,
01-12-2008,,,,,,
02-12-2008,,,,,,
03-12-2008,49.06999969482422,49.06999969482422,15.0,49.06999969482422,49.06999969482422,31.937822341918945
04-12-2008,,,,,,
05-12-2008,,,,,,
08-12-2008,50.77000045776367,50.77000045776367,56.0,50.77000045776367,50.77000045776367,33.04428482055664
09-12-2008,,,,,,
10-12-2008,49.70000076293945,49.70000076293945,7.0,49.70000076293945,49.70000076293945,32.347862243652344
11-12-2008,,,,,,
12-12-2008,41.52000045776367,41.52000045776367,200.0,41.52000045776367,41.52000045776367,27.023813247680664
