Date,Low,Open,Volume,High,Close,Adjusted Close
03-01-2000,54.0,54.0,900.0,54.0,53.0,9.03980471775867e-05
04-01-2000,53.0,53.0,300.0,53.0,52.0,8.869246084941551e-05
05-01-2000,52.0,52.0,0.0,52.0,52.0,8.869246084941551e-05
06-01-2000,53.0,53.0,200.0,53.0,53.0,9.03980471775867e-05
07-01-2000,53.0,54.0,40.0,53.0,53.0,9.03980471775867e-05
10-01-2000,55.5,55.5,200.0,55.5,55.5,9.466215124120936e-05
11-01-2000,55.5,55.5,200.0,56.5,55.5,9.466215124120936e-05
12-01-2000,57.5,57.5,900.0,57.5,57.5,9.807338210521266e-05
13-01-2000,56.0,57.0,600.0,57.79999923706055,56.0,9.55149662331678e-05
14-01-2000,57.0,57.0,500.0,60.0,60.0,0.00010233744251308963
17-01-2000,59.900001525878906,60.5,800.0,60.5,60.0,0.00010233744251308963
18-01-2000,59.0,59.0,1600.0,59.900001525878906,60.0,0.00010233744251308963
19-01-2000,59.0,59.0,100.0,59.0,59.0,0.00010063181980513036
20-01-2000,57.0,57.0,200.0,57.5,57.0,9.722055256133899e-05
21-01-2000,55.0,55.0,25.0,55.0,55.0,9.380931442137808e-05
24-01-2000,55.0,55.0,500.0,56.0,56.0,9.55149662331678e-05
25-01-2000,53.0,53.0,0.0,53.0,53.0,9.03980471775867e-05
26-01-2000,51.5,53.0,1600.0,53.0,52.0,8.869246084941551e-05
27-01-2000,51.5,51.5,100.0,51.5,51.5,8.7839609477669e-05
28-01-2000,51.5,51.5,50.0,51.5,52.5,8.954523218562827e-05
31-01-2000,52.0,54.0,600.0,54.0,52.0,8.869246084941551e-05
01-02-2000,53.5,53.5,0.0,53.5,53.5,9.125089854933321e-05
02-02-2000,51.5,53.5,100.0,53.5,53.5,9.125089854933321e-05
03-02-2000,51.5,52.5,800.0,52.5,51.5,8.7839609477669e-05
04-02-2000,50.5,52.5,400.0,50.5,50.5,8.613402314949781e-05
07-02-2000,49.5,49.5,30.0,49.5,49.5,8.442834223387763e-05
08-02-2000,49.0,48.5,0.0,49.0,49.0,8.35755854495801e-05
09-02-2000,51.5,49.5,200.0,51.5,51.5,8.7839609477669e-05
10-02-2000,49.5,49.5,1500.0,52.0,50.5,8.613402314949781e-05
11-02-2000,50.5,50.5,300.0,52.0,50.5,8.613402314949781e-05
14-02-2000,46.0,48.0,1300.0,48.0,46.0,7.845870277378708e-05
15-02-2000,48.5,48.0,400.0,50.0,48.5,8.272276318166405e-05
16-02-2000,47.0,48.5,600.0,50.5,47.0,8.016429637791589e-05
17-02-2000,47.0,47.0,0.0,47.0,47.0,8.016429637791589e-05
18-02-2000,46.5,47.0,200.0,46.5,46.5,7.931153231766075e-05
21-02-2000,45.5,45.79999923706055,200.0,47.0,47.0,8.016429637791589e-05
22-02-2000,47.0,47.0,0.0,47.0,47.0,8.016429637791589e-05
23-02-2000,45.5,47.0,200.0,45.5,45.5,7.760587322991341e-05
24-02-2000,45.5,45.5,0.0,45.5,45.5,7.760587322991341e-05
25-02-2000,46.79999923706055,46.79999923706055,20.0,46.79999923706055,47.79999923706055,8.152881491696462e-05
28-02-2000,48.0,48.70000076293945,1400.0,48.70000076293945,48.0,8.186995546566322e-05
29-02-2000,48.5,50.0,400.0,51.0,48.5,8.272276318166405e-05
01-03-2000,49.0,49.0,0.0,49.0,49.0,9.40467871259898e-05
02-03-2000,50.79999923706055,51.0,300.0,51.0,50.79999923706055,9.750151366461068e-05
03-03-2000,49.5,51.79999923706055,2900.0,50.79999923706055,50.400001525878906,9.673379827290773e-05
06-03-2000,49.0,49.0,700.0,50.0,50.0,9.596610470907763e-05
07-03-2000,50.0,50.0,0.0,50.0,50.0,9.596610470907763e-05
08-03-2000,49.5,49.5,0.0,49.5,49.5,9.50063913478516e-05
09-03-2000,48.5,49.5,600.0,51.0,51.0,9.788536408450454e-05
10-03-2000,51.5,51.0,200.0,51.5,51.5,9.884502651402727e-05
