Date,Low,Open,Volume,High,Close,Adjusted Close
25-08-1999,82.5,86.25,3500.0,89.0625,82.5,82.5
26-08-1999,76.875,82.5,2100.0,85.3125,79.6875,79.6875
27-08-1999,71.25,79.6875,2700.0,79.6875,71.25,71.25
30-08-1999,70.3125,71.484375,25000.0,93.75,84.84375,84.84375
31-08-1999,80.625,86.015625,8000.0,90.0,80.625,80.625
01-09-1999,76.40625,85.078125,4600.0,88.125,76.875,76.875
02-09-1999,75.9375,76.875,3000.0,80.625,77.8125,77.8125
03-09-1999,77.8125,77.8125,600.0,84.375,80.625,80.625
07-09-1999,80.625,85.3125,9300.0,90.9375,86.25,86.25
08-09-1999,84.375,86.71875,144600.0,142.5,120.0,120.0
09-09-1999,103.125,125.625,66000.0,127.5,108.75,108.75
10-09-1999,106.875,106.875,13300.0,116.25,114.375,114.375
13-09-1999,116.25,121.875,17100.0,125.625,120.9375,120.9375
14-09-1999,120.9375,121.875,21600.0,136.875,120.9375,120.9375
15-09-1999,108.75,121.875,11300.0,127.03125,112.5,112.5
16-09-1999,106.875,111.09375,2600.0,118.125,116.25,116.25
17-09-1999,110.625,116.25,3700.0,120.9375,112.5,112.5
20-09-1999,107.34375,113.4375,1600.0,114.375,108.75,108.75
21-09-1999,103.125,108.515625,14300.0,124.6875,114.375,114.375
22-09-1999,110.625,118.125,2300.0,118.125,110.625,110.625
23-09-1999,105.46875,112.5,2600.0,116.25,106.875,106.875
24-09-1999,105.46875,105.9375,4800.0,114.375,110.625,110.625
27-09-1999,113.4375,114.375,6000.0,121.875,118.125,118.125
28-09-1999,111.5625,120.0,3000.0,120.0,115.3125,115.3125
29-09-1999,109.21875,112.5,2700.0,114.375,112.5,112.5
30-09-1999,108.75,112.5,700.0,112.5,108.75,108.75
01-10-1999,108.75,108.75,10700.0,122.34375,120.9375,120.9375
04-10-1999,114.375,120.0,3800.0,122.34375,120.9375,120.9375
05-10-1999,117.1875,120.9375,3400.0,123.75,120.0,120.0
06-10-1999,115.78125,118.125,4400.0,123.75,115.78125,115.78125
07-10-1999,115.3125,117.1875,1400.0,120.0,116.25,116.25
08-10-1999,110.625,116.25,2300.0,118.125,111.5625,111.5625
11-10-1999,105.0,110.625,1300.0,110.625,105.0,105.0
12-10-1999,104.0625,105.703125,2800.0,110.625,105.9375,105.9375
13-10-1999,97.96875,102.1875,2200.0,105.0,102.1875,102.1875
14-10-1999,102.1875,102.1875,1800.0,108.75,106.875,106.875
15-10-1999,99.375,106.875,4100.0,110.625,110.625,110.625
18-10-1999,100.3125,110.15625,1800.0,110.15625,105.0,105.0
19-10-1999,99.375,99.375,1500.0,105.0,105.0,105.0
20-10-1999,101.25,104.0625,4300.0,109.6875,106.875,106.875
21-10-1999,101.25,105.0,2100.0,105.0,105.0,105.0
22-10-1999,103.125,104.53125,2700.0,108.75,106.875,106.875
25-10-1999,101.25,108.28125,1600.0,108.28125,101.25,101.25
26-10-1999,101.25,101.25,3200.0,105.9375,101.25,101.25
27-10-1999,101.25,104.0625,1100.0,104.0625,103.125,103.125
28-10-1999,100.3125,103.125,800.0,103.125,100.3125,100.3125
29-10-1999,100.3125,104.0625,2000.0,105.0,100.3125,100.3125
01-11-1999,97.5,103.125,400.0,103.125,97.5,97.5
02-11-1999,90.0,101.25,4900.0,105.0,91.875,91.875
03-11-1999,95.625,101.25,12800.0,121.875,106.875,106.875
04-11-1999,105.0,112.96875,3600.0,113.4375,106.875,106.875
05-11-1999,104.0625,106.875,1500.0,108.75,105.46875,105.46875
08-11-1999,106.875,108.75,11400.0,114.375,112.5,112.5
09-11-1999,102.1875,112.03125,4500.0,112.5,102.1875,102.1875
10-11-1999,100.3125,102.890625,2700.0,108.75,108.75,108.75
11-11-1999,110.625,112.03125,10000.0,123.75,120.0,120.0
12-11-1999,116.25,120.0,17200.0,131.25,129.375,129.375
15-11-1999,129.375,134.0625,18400.0,140.625,136.875,136.875
16-11-1999,125.625,137.8125,12900.0,140.625,132.1875,132.1875
17-11-1999,133.125,133.125,127700.0,181.875,163.125,163.125
18-11-1999,151.875,176.25,45800.0,178.125,165.0,165.0
19-11-1999,152.8125,164.0625,12000.0,166.875,153.75,153.75
22-11-1999,153.75,165.0,20200.0,176.25,168.75,168.75
23-11-1999,161.25,170.625,15900.0,174.375,167.8125,167.8125
24-11-1999,159.375,168.28125,11700.0,176.25,168.75,168.75
26-11-1999,163.125,172.5,8900.0,173.4375,165.0,165.0
29-11-1999,168.75,173.4375,99000.0,215.625,210.9375,210.9375
30-11-1999,201.5625,216.5625,84500.0,247.5,214.6875,214.6875
01-12-1999,193.125,235.3125,46600.0,236.25,195.0,195.0
02-12-1999,201.5625,204.375,16000.0,217.5,204.375,204.375
03-12-1999,193.125,210.0,13600.0,213.75,195.0,195.0
06-12-1999,186.5625,199.6875,19700.0,213.75,203.4375,203.4375
07-12-1999,204.375,208.125,102600.0,262.5,251.25,251.25
08-12-1999,281.25,293.4375,165900.0,378.75,351.5625,351.5625
09-12-1999,296.25,390.0,101900.0,405.0,341.25,341.25
10-12-1999,311.25,367.5,40300.0,375.0,338.4375,338.4375
13-12-1999,286.875,330.0,28000.0,330.9375,291.5625,291.5625
14-12-1999,258.75,291.5625,32300.0,294.375,262.5,262.5
15-12-1999,227.8125,255.0,41800.0,258.75,238.125,238.125
16-12-1999,239.0625,239.53125,43900.0,298.125,286.875,286.875
17-12-1999,258.75,299.0625,16100.0,300.0,262.5,262.5
20-12-1999,266.25,287.8125,12300.0,288.75,277.5,277.5
21-12-1999,210.0,210.0,12700.0,281.25,261.5625,261.5625
22-12-1999,225.0,264.84375,23300.0,266.25,226.875,226.875
23-12-1999,215.625,229.6875,15800.0,238.125,237.1875,237.1875
27-12-1999,211.875,221.25,6000.0,236.25,225.0,225.0
28-12-1999,220.3125,225.0,8100.0,230.625,221.25,221.25
29-12-1999,217.5,221.25,5200.0,226.875,221.25,221.25
30-12-1999,214.6875,221.25,9800.0,232.5,217.5,217.5
31-12-1999,196.875,212.8125,27200.0,322.5,277.5,277.5
03-01-2000,241.875,276.5625,12700.0,277.5,255.0,255.0
04-01-2000,230.625,244.6875,7300.0,254.0625,230.625,230.625
05-01-2000,223.125,225.0,11200.0,258.75,258.75,258.75
06-01-2000,255.0,272.8125,109000.0,335.625,300.0,300.0
07-01-2000,303.75,334.6875,40100.0,338.4375,311.25,311.25
10-01-2000,277.5,324.375,45100.0,330.0,288.75,288.75
11-01-2000,257.8125,282.65625,16900.0,286.875,266.25,266.25
12-01-2000,251.25,264.375,12100.0,275.625,275.625,275.625
13-01-2000,260.625,276.5625,13100.0,289.6875,277.5,277.5
14-01-2000,262.5,271.875,8600.0,281.25,277.5,277.5
18-01-2000,260.625,281.25,11400.0,285.0,276.5625,276.5625
19-01-2000,266.25,277.5,6000.0,278.4375,270.0,270.0
20-01-2000,268.125,273.75,10600.0,277.5,273.75,273.75
21-01-2000,262.5,262.5,42200.0,322.5,294.375,294.375
24-01-2000,283.125,303.75,11100.0,311.25,298.125,298.125
25-01-2000,287.8125,300.0,9300.0,300.0,294.375,294.375
26-01-2000,255.0,286.875,17300.0,289.21875,264.375,264.375
27-01-2000,256.875,256.875,20000.0,285.0,284.0625,284.0625
28-01-2000,265.3125,280.78125,20500.0,295.3125,283.125,283.125
31-01-2000,266.25,283.125,10800.0,300.0,272.8125,272.8125
01-02-2000,258.75,273.75,7100.0,273.75,269.0625,269.0625
02-02-2000,262.5,266.71875,12300.0,292.5,270.0,270.0
03-02-2000,263.4375,274.6875,14100.0,288.75,269.0625,269.0625
04-02-2000,256.875,267.65625,24600.0,288.75,286.875,286.875
07-02-2000,290.625,293.4375,28900.0,307.5,296.25,296.25
08-02-2000,255.0,294.375,16600.0,300.0,281.25,281.25
09-02-2000,270.0,287.8125,14700.0,300.9375,271.875,271.875
10-02-2000,266.25,277.5,12300.0,283.125,273.75,273.75
11-02-2000,255.9375,271.875,15400.0,272.8125,260.625,260.625
14-02-2000,256.875,262.5,35500.0,281.25,257.8125,257.8125
15-02-2000,230.625,257.8125,25400.0,260.625,234.375,234.375
16-02-2000,230.625,243.28125,17400.0,250.3125,236.25,236.25
17-02-2000,225.9375,231.5625,14900.0,238.125,227.8125,227.8125
18-02-2000,232.5,236.25,11000.0,262.5,251.25,251.25
22-02-2000,244.6875,253.125,11700.0,262.5,261.5625,261.5625
23-02-2000,255.9375,272.8125,12500.0,275.625,260.625,260.625
24-02-2000,240.0,260.625,5400.0,266.25,247.5,247.5
25-02-2000,236.25,243.75,10500.0,256.875,254.0625,254.0625
28-02-2000,243.75,258.75,27200.0,262.5,254.0625,254.0625
29-02-2000,225.9375,256.875,31300.0,285.0,271.875,271.875
01-03-2000,265.3125,272.8125,35700.0,303.75,295.3125,295.3125
02-03-2000,282.1875,300.0,19600.0,315.0,282.1875,282.1875
03-03-2000,285.9375,292.5,59100.0,360.0,340.3125,340.3125
06-03-2000,333.75,375.9375,72900.0,380.625,377.8125,377.8125
07-03-2000,410.625,446.25,144700.0,480.0,420.0,420.0
08-03-2000,330.0,418.125,85300.0,419.0625,331.875,331.875
09-03-2000,303.75,345.0,29100.0,354.375,323.4375,323.4375
10-03-2000,317.8125,322.5,41400.0,358.125,339.375,339.375
13-03-2000,318.75,348.75,30400.0,367.5,340.3125,340.3125
14-03-2000,360.0,458.4375,139600.0,461.25,399.375,399.375
15-03-2000,397.5,404.53125,40200.0,427.5,401.25,401.25
16-03-2000,360.0,406.875,25800.0,420.0,367.5,367.5
17-03-2000,360.0,378.75,10500.0,378.75,367.5,367.5
20-03-2000,327.1875,385.3125,22200.0,386.25,328.125,328.125
21-03-2000,300.0,318.75,21900.0,351.5625,318.75,318.75
22-03-2000,277.5,315.0,37000.0,324.375,300.0,300.0
23-03-2000,305.625,311.25,17000.0,330.0,330.0,330.0
24-03-2000,298.125,341.25,16500.0,352.5,319.6875,319.6875
27-03-2000,298.125,328.125,11900.0,328.125,300.0,300.0
28-03-2000,285.0,295.3125,8300.0,300.0,285.0,285.0
29-03-2000,247.5,285.9375,27000.0,290.625,255.0,255.0
