Date,Low,Open,Volume,High,Close,Adjusted Close
31-12-2001,4.550000190734863,4.550000190734863,1000.0,4.550000190734863,4.550000190734863,2.93213152885437
01-01-2002,,,,,,
02-01-2002,5.300000190734863,5.300000190734863,100.0,5.300000190734863,5.300000190734863,3.415449857711792
03-01-2002,4.25,5.650000095367432,500.0,5.650000095367432,4.25,2.7388041019439697
04-01-2002,,,,,,
07-01-2002,,,,,,
08-01-2002,,,,,,
09-01-2002,4.5,4.5,100.0,4.5,4.5,2.8999102115631104
10-01-2002,,,,,,
11-01-2002,,,,,,
14-01-2002,,,,,,
15-01-2002,,,,,,
16-01-2002,,,,,,
17-01-2002,,,,,,
18-01-2002,,,,,,
21-01-2002,,,,,,
22-01-2002,,,,,,
23-01-2002,,,,,,
24-01-2002,3.6500000953674316,3.6500000953674316,10.0,3.6500000953674316,3.6500000953674316,2.352149248123169
25-01-2002,,,,,,
28-01-2002,,,,,,
29-01-2002,3.0,3.0,400.0,3.0,3.0,1.933273434638977
30-01-2002,,,,,,
31-01-2002,3.5999999046325684,3.5999999046325684,5.0,3.5999999046325684,3.5999999046325684,2.319927930831909
01-02-2002,,,,,,
04-02-2002,4.300000190734863,4.300000190734863,10.0,4.300000190734863,4.300000190734863,2.7710251808166504
05-02-2002,,,,,,
06-02-2002,,,,,,
07-02-2002,,,,,,
08-02-2002,,,,,,
11-02-2002,,,,,,
12-02-2002,,,,,,
13-02-2002,,,,,,
14-02-2002,,,,,,
15-02-2002,,,,,,
18-02-2002,,,,,,
19-02-2002,,,,,,
20-02-2002,,,,,,
21-02-2002,,,,,,
22-02-2002,3.450000047683716,3.450000047683716,300.0,3.450000047683716,3.450000047683716,2.223264455795288
25-02-2002,,,,,,
26-02-2002,,,,,,
27-02-2002,,,,,,
28-02-2002,,,,,,
01-03-2002,,,,,,
04-03-2002,,,,,,
05-03-2002,,,,,,
06-03-2002,,,,,,
07-03-2002,,,,,,
08-03-2002,2.799999952316284,2.799999952316284,200.0,2.799999952316284,2.799999952316284,1.8043885231018066
11-03-2002,,,,,,
12-03-2002,,,,,,
13-03-2002,,,,,,
14-03-2002,,,,,,
15-03-2002,2.75,2.75,100.0,2.75,2.75,1.7721672058105469
18-03-2002,2.549999952316284,2.549999952316284,1000.0,2.549999952316284,2.549999952316284,1.6432822942733765
19-03-2002,,,,,,
20-03-2002,,,,,,
21-03-2002,,,,,,
22-03-2002,,,,,,
25-03-2002,,,,,,
26-03-2002,,,,,,
27-03-2002,2.5999999046325684,2.5999999046325684,50.0,2.5999999046325684,2.5999999046325684,1.6755034923553467
28-03-2002,,,,,,
29-03-2002,,,,,,
01-04-2002,,,,,,
02-04-2002,,,,,,
03-04-2002,,,,,,
04-04-2002,,,,,,
05-04-2002,,,,,,
08-04-2002,,,,,,
09-04-2002,,,,,,
10-04-2002,,,,,,
11-04-2002,2.1500000953674316,2.1500000953674316,100.0,2.1500000953674316,2.1500000953674316,1.3855125904083252
12-04-2002,2.25,2.25,700.0,2.25,2.25,1.4499551057815552
15-04-2002,,,,,,
16-04-2002,,,,,,
17-04-2002,2.5,2.5,500.0,2.5,2.5,1.6110609769821167
18-04-2002,,,,,,
19-04-2002,,,,,,
22-04-2002,,,,,,
23-04-2002,,,,,,
24-04-2002,,,,,,
25-04-2002,,,,,,
26-04-2002,,,,,,
29-04-2002,,,,,,
30-04-2002,,,,,,
01-05-2002,,,,,,
02-05-2002,,,,,,
03-05-2002,,,,,,
06-05-2002,,,,,,
07-05-2002,2.049999952316284,2.5,200.0,2.5,2.049999952316284,1.3210700750350952
08-05-2002,,,,,,
09-05-2002,,,,,,
10-05-2002,,,,,,
13-05-2002,,,,,,
14-05-2002,,,,,,
15-05-2002,,,,,,
16-05-2002,2.450000047683716,2.450000047683716,200.0,2.450000047683716,2.450000047683716,1.578839898109436
17-05-2002,,,,,,
20-05-2002,,,,,,
21-05-2002,,,,,,
22-05-2002,,,,,,
23-05-2002,,,,,,
24-05-2002,,,,,,
27-05-2002,,,,,,
28-05-2002,,,,,,
29-05-2002,2.9000000953674316,2.9000000953674316,50.0,2.9000000953674316,2.9000000953674316,1.8688308000564575
30-05-2002,3.4000000953674316,3.4000000953674316,900.0,3.450000047683716,3.450000047683716,2.223264455795288
31-05-2002,,,,,,
03-06-2002,4.099999904632568,4.099999904632568,100.0,4.099999904632568,4.099999904632568,2.6421401500701904
04-06-2002,3.9000000953674316,4.75,1000.0,4.75,3.9000000953674316,2.5132551193237305
05-06-2002,,,,,,
06-06-2002,4.0,4.0,50.0,4.0,4.0,2.57769775390625
07-06-2002,4.0,4.099999904632568,500.0,4.099999904632568,4.0,2.57769775390625
10-06-2002,,,,,,
11-06-2002,4.0,4.0,4.0,4.0,4.0,2.57769775390625
12-06-2002,3.9000000953674316,3.9000000953674316,1000.0,3.9000000953674316,3.9000000953674316,2.5132551193237305
13-06-2002,3.299999952316284,3.299999952316284,300.0,3.299999952316284,3.299999952316284,2.126600742340088
14-06-2002,3.5,3.5,1000.0,3.950000047683716,3.950000047683716,2.5454764366149902
17-06-2002,3.200000047683716,3.200000047683716,200.0,3.799999952316284,3.799999952316284,2.448812961578369
18-06-2002,4.0,4.0,100.0,4.0,4.0,2.57769775390625
19-06-2002,3.799999952316284,3.799999952316284,500.0,4.400000095367432,4.400000095367432,2.8354673385620117
20-06-2002,,,,,,
