Date,Low,Open,Volume,High,Close,Adjusted Close
14-09-1982,1.15625,1.15625,48000,1.203125,1.15625,0.1816084384918213
15-09-1982,1.15625,1.15625,0,1.15625,1.15625,0.1816084384918213
16-09-1982,1.15625,1.15625,0,1.15625,1.15625,0.1816084384918213
17-09-1982,1.15625,1.15625,0,1.15625,1.15625,0.1816084384918213
20-09-1982,1.21875,1.21875,51200,1.28125,1.21875,0.19142502546310425
21-09-1982,1.375,1.375,20800,1.421875,1.375,0.21596677601337433
22-09-1982,1.34375,1.375,24000,1.390625,1.34375,0.2110583484172821
23-09-1982,1.28125,1.34375,41600,1.34375,1.28125,0.20124183595180511
24-09-1982,1.28125,1.28125,11200,1.34375,1.28125,0.20124183595180511
27-09-1982,1.359375,1.359375,68800,1.421875,1.359375,0.21351258456707
28-09-1982,1.421875,1.421875,33600,1.484375,1.421875,0.22332920134067535
29-09-1982,1.390625,1.421875,22400,1.421875,1.390625,0.21842092275619507
30-09-1982,1.359375,1.390625,11200,1.40625,1.359375,0.21351258456707
01-10-1982,1.359375,1.359375,9600,1.40625,1.359375,0.21351258456707
04-10-1982,1.359375,1.359375,43200,1.40625,1.359375,0.21351258456707
05-10-1982,1.328125,1.359375,27200,1.375,1.328125,0.20860424637794495
06-10-1982,1.34375,1.34375,12800,1.375,1.34375,0.2110583484172821
07-10-1982,1.3125,1.34375,80000,1.359375,1.3125,0.206150084733963
08-10-1982,1.3125,1.3125,49600,1.359375,1.3125,0.206150084733963
11-10-1982,1.3125,1.3125,0,1.3125,1.3125,0.206150084733963
12-10-1982,1.34375,1.34375,27200,1.390625,1.34375,0.2110583484172821
13-10-1982,1.328125,1.34375,8000,1.390625,1.328125,0.20860424637794495
14-10-1982,1.328125,1.328125,17600,1.375,1.328125,0.20860424637794495
15-10-1982,1.328125,1.328125,3200,1.375,1.328125,0.20860424637794495
18-10-1982,1.328125,1.328125,9600,1.375,1.328125,0.20860424637794495
19-10-1982,1.328125,1.328125,16000,1.375,1.328125,0.20860424637794495
20-10-1982,1.34375,1.34375,20800,1.390625,1.34375,0.2110583484172821
21-10-1982,1.359375,1.359375,20800,1.390625,1.359375,0.21351258456707
22-10-1982,1.359375,1.359375,0,1.359375,1.359375,0.21351258456707
25-10-1982,1.296875,1.34375,36800,1.34375,1.296875,0.20369581878185272
26-10-1982,1.296875,1.296875,6400,1.328125,1.296875,0.20369581878185272
27-10-1982,1.296875,1.296875,8000,1.328125,1.296875,0.20369581878185272
28-10-1982,1.296875,1.296875,35200,1.328125,1.296875,0.20369581878185272
29-10-1982,1.296875,1.296875,3200,1.328125,1.296875,0.20369581878185272
01-11-1982,1.296875,1.296875,64000,1.328125,1.296875,0.20369581878185272
02-11-1982,1.296875,1.296875,25600,1.328125,1.296875,0.20369581878185272
03-11-1982,1.296875,1.296875,32000,1.328125,1.296875,0.20369581878185272
04-11-1982,1.3125,1.3125,91200,1.328125,1.3125,0.206150084733963
05-11-1982,1.3125,1.3125,3200,1.359375,1.3125,0.206150084733963
08-11-1982,1.3125,1.3125,76800,1.359375,1.3125,0.206150084733963
09-11-1982,1.3125,1.3125,3200,1.359375,1.3125,0.206150084733963
10-11-1982,1.359375,1.359375,30400,1.40625,1.359375,0.21351258456707
11-11-1982,1.421875,1.421875,27200,1.484375,1.421875,0.22332920134067535
12-11-1982,1.484375,1.484375,33600,1.546875,1.484375,0.23314598202705383
15-11-1982,1.46875,1.484375,116800,1.5,1.46875,0.2306918203830719
16-11-1982,1.40625,1.453125,20800,1.453125,1.40625,0.2208750694990158
17-11-1982,1.40625,1.40625,856000,1.453125,1.40625,0.2208750694990158
18-11-1982,1.4375,1.4375,235200,1.484375,1.4375,0.22578337788581848
19-11-1982,1.4375,1.4375,4800,1.484375,1.4375,0.22578337788581848
22-11-1982,1.4375,1.4375,136000,1.484375,1.4375,0.22578337788581848
23-11-1982,1.4375,1.4375,19200,1.484375,1.4375,0.22578337788581848
24-11-1982,1.4375,1.4375,25600,1.484375,1.4375,0.22578337788581848
26-11-1982,1.4375,1.4375,0,1.4375,1.4375,0.22578337788581848
29-11-1982,1.4375,1.4375,6400,1.46875,1.4375,0.22578337788581848
30-11-1982,1.453125,1.453125,75200,1.5,1.453125,0.22823745012283325
01-12-1982,1.46875,1.46875,468800,1.515625,1.46875,0.2306918203830719
02-12-1982,1.46875,1.46875,411200,1.515625,1.46875,0.2306918203830719
03-12-1982,1.484375,1.484375,102400,1.515625,1.484375,0.23314598202705383
06-12-1982,1.484375,1.484375,313600,1.515625,1.484375,0.23314598202705383
07-12-1982,1.5,1.5,272000,1.53125,1.5,0.23560012876987457
08-12-1982,1.53125,1.53125,179200,1.5625,1.53125,0.24050837755203247
09-12-1982,1.515625,1.53125,6400,1.5625,1.515625,0.2380543053150177
10-12-1982,1.515625,1.515625,1600,1.5625,1.515625,0.2380543053150177
13-12-1982,1.53125,1.53125,49600,1.5625,1.53125,0.24050837755203247
14-12-1982,1.53125,1.53125,11200,1.578125,1.53125,0.24050837755203247
15-12-1982,1.53125,1.53125,0,1.578125,1.53125,0.24050837755203247
16-12-1982,1.53125,1.53125,0,1.53125,1.53125,0.24050837755203247
17-12-1982,1.53125,1.53125,3200,1.578125,1.53125,0.24050837755203247
20-12-1982,1.53125,1.53125,0,1.53125,1.53125,0.24050837755203247
21-12-1982,1.53125,1.53125,0,1.53125,1.53125,0.24050837755203247
22-12-1982,1.53125,1.53125,4800,1.578125,1.53125,0.24050837755203247
23-12-1982,1.53125,1.53125,3200,1.578125,1.53125,0.24050837755203247
27-12-1982,1.53125,1.53125,48000,1.578125,1.53125,0.24050837755203247
28-12-1982,1.53125,1.53125,9600,1.5625,1.53125,0.24050837755203247
29-12-1982,1.53125,1.53125,3200,1.5625,1.53125,0.24050837755203247
30-12-1982,1.53125,1.53125,3200,1.5625,1.53125,0.24050837755203247
31-12-1982,1.53125,1.53125,1600,1.5625,1.53125,0.24050837755203247
03-01-1983,1.53125,1.53125,22400,1.5625,1.53125,0.24050837755203247
04-01-1983,1.53125,1.53125,9600,1.5625,1.53125,0.24050837755203247
05-01-1983,1.53125,1.53125,115200,1.5625,1.53125,0.24050837755203247
06-01-1983,1.53125,1.53125,48000,1.578125,1.53125,0.24050837755203247
07-01-1983,1.53125,1.53125,195200,1.578125,1.53125,0.24050837755203247
10-01-1983,1.546875,1.546875,16000,1.59375,1.546875,0.24296267330646515
11-01-1983,1.546875,1.546875,44800,1.59375,1.546875,0.24296267330646515
12-01-1983,1.546875,1.546875,8000,1.59375,1.546875,0.24296267330646515
