Date,Low,Open,Volume,High,Close,Adjusted Close
01-06-1972,4.0234375,0.0,456000,4.0703125,4.046875,0.9373065829277039
02-06-1972,4.0546875,4.0546875,640000,4.09375,4.09375,0.9481630325317383
05-06-1972,4.0234375,4.0859375,464000,4.0859375,4.0390625,0.9354970455169678
06-06-1972,4.0,4.0390625,796800,4.0390625,4.0,0.9264498949050903
07-06-1972,3.9921875,4.0,584000,4.0546875,4.046875,0.9373065829277039
08-06-1972,3.9921875,4.046875,726400,4.0625,4.0,0.9264498949050903
09-06-1972,4.0078125,4.0078125,296000,4.0546875,4.046875,0.9373065829277039
12-06-1972,4.015625,4.046875,473600,4.078125,4.0390625,0.9354970455169678
13-06-1972,4.046875,4.046875,478400,4.09375,4.078125,0.9445447325706482
14-06-1972,4.09375,4.09375,795200,4.1796875,4.1640625,0.9644489288330078
15-06-1972,4.1875,4.1875,836800,4.234375,4.1875,0.9698766469955444
16-06-1972,4.125,4.1875,267200,4.1953125,4.140625,0.95902019739151
19-06-1972,4.0625,4.140625,1001600,4.1640625,4.109375,0.9517823457717896
20-06-1972,4.125,4.125,345600,4.1640625,4.1640625,0.9644489288330078
21-06-1972,4.1171875,4.1640625,556800,4.1796875,4.125,0.9554011821746826
22-06-1972,4.109375,4.125,321600,4.1640625,4.15625,0.9626388549804688
23-06-1972,4.15625,4.15625,212800,4.1796875,4.171875,0.9662570953369141
26-06-1972,4.1328125,4.171875,278400,4.21875,4.21875,0.9771144986152649
27-06-1972,4.171875,4.21875,268800,4.2421875,4.1953125,0.9716861844062805
28-06-1972,4.109375,4.1796875,433600,4.1796875,4.125,0.9554011821746826
29-06-1972,4.1015625,4.125,313600,4.1484375,4.1015625,0.9499728083610535
30-06-1972,4.109375,4.109375,404800,4.171875,4.15625,0.9626388549804688
03-07-1972,4.1484375,4.15625,240000,4.2109375,4.203125,0.9734951853752136
05-07-1972,4.234375,4.234375,734400,4.28125,4.25,0.9843518137931824
06-07-1972,4.3046875,4.3046875,809600,4.3515625,4.328125,1.0024471282958984
07-07-1972,4.3359375,4.3359375,595200,4.4296875,4.4296875,1.0259701013565063
