Date,Low,Open,Volume,High,Close,Adjusted Close
13-05-1999,5.625,6.75,794700,7.0,6.0625,2.5871894359588623
14-05-1999,5.875,6.125,181500,6.25,6.21875,2.653869152069092
17-05-1999,5.75,6.125,47100,6.34375,6.0,2.5605177879333496
18-05-1999,5.59375,6.0,72100,6.125,5.8125,2.480501413345337
19-05-1999,5.6875,5.6875,23100,5.9375,5.75,2.453829288482666
20-05-1999,5.5625,5.6875,44200,5.875,5.625,2.400484561920166
21-05-1999,5.5625,5.625,29200,5.875,5.625,2.400484561920166
24-05-1999,4.875,5.75,56500,5.75,4.875,2.08042049407959
25-05-1999,4.625,5.0,89300,5.125,5.0,2.1337645053863525
26-05-1999,4.609375,4.65625,19100,4.78125,4.75,2.027076244354248
27-05-1999,4.578125,4.78125,49700,4.78125,4.75,2.027076244354248
28-05-1999,4.8125,4.9375,28800,5.375,5.3125,2.2671241760253906
01-06-1999,4.59375,4.59375,6200,4.734375,4.625,1.9737324714660645
02-06-1999,4.59375,4.640625,5800,4.671875,4.640625,1.9804002046585083
03-06-1999,4.640625,4.640625,11300,4.765625,4.71875,2.013740301132202
04-06-1999,4.625,4.875,22800,5.125,5.0,2.1337645053863525
07-06-1999,4.703125,4.765625,8000,4.765625,4.75,2.027076244354248
08-06-1999,4.75,4.765625,78000,5.015625,4.875,2.08042049407959
09-06-1999,4.8125,4.921875,18600,5.0,4.9375,2.1070926189422607
10-06-1999,4.828125,4.953125,14600,4.984375,4.875,2.08042049407959
11-06-1999,4.5,4.5,45800,5.25,4.875,2.08042049407959
14-06-1999,4.625,4.859375,6500,4.859375,4.75,2.027076244354248
15-06-1999,4.671875,4.796875,20000,4.96875,4.9375,2.1070926189422607
16-06-1999,4.875,4.875,15900,4.96875,4.921875,2.100423574447632
17-06-1999,4.875,4.875,8900,4.953125,4.921875,2.100423574447632
18-06-1999,4.25,4.25,15400,4.5,4.375,1.8670438528060913
21-06-1999,5.109375,5.171875,49500,5.40625,5.25,2.2404520511627197
22-06-1999,3.9375,4.25,56400,4.25,4.0625,1.7336833477020264
23-06-1999,3.9375,4.0,15600,4.0,3.9375,1.6803394556045532
24-06-1999,3.625,4.0,27200,4.0,3.875,1.6536675691604614
25-06-1999,3.8125,3.8125,28300,4.1875,4.1875,1.7870274782180786
28-06-1999,3.9375,4.0,25000,4.125,4.0,1.7070116996765137
29-06-1999,4.0,4.0625,29400,4.3125,4.3125,1.8403719663619995
30-06-1999,4.125,4.125,4200,4.3125,4.125,1.7603559494018555
01-07-1999,4.125,4.28125,7800,4.3125,4.25,1.8136992454528809
02-07-1999,4.1875,4.265625,16300,4.28125,4.1875,1.7870274782180786
06-07-1999,4.1875,4.1875,68600,4.6875,4.5,1.920388102531433
07-07-1999,4.0625,4.4375,33900,4.5625,4.0625,1.7336833477020264
08-07-1999,4.125,4.1875,12400,4.25,4.25,1.8136992454528809
09-07-1999,4.0625,4.0625,11300,4.25,4.125,1.7603559494018555
12-07-1999,3.875,4.3125,15300,4.3125,4.0,1.7070116996765137
13-07-1999,3.75,3.96875,14400,4.0,3.75,1.600322961807251
14-07-1999,3.625,3.75,21600,3.875,3.6875,1.5736514329910278
15-07-1999,3.5625,3.65625,9500,3.6875,3.6875,1.5736514329910278
16-07-1999,3.625,3.6875,6700,3.9375,3.9375,1.6803394556045532
19-07-1999,3.625,3.9375,10100,3.9375,3.6875,1.5736514329910278
20-07-1999,3.5625,3.625,2100,3.625,3.5625,1.520306944847107
21-07-1999,3.5625,3.71875,26400,3.75,3.6875,1.5736514329910278
22-07-1999,3.5,3.5625,13800,3.6875,3.6875,1.5736514329910278
23-07-1999,3.75,3.875,23700,3.9375,3.875,1.6536675691604614
26-07-1999,3.75,3.90625,6300,4.0,3.875,1.6536675691604614
27-07-1999,3.75,3.96875,16900,3.96875,3.75,1.600322961807251
28-07-1999,3.5,3.625,8400,3.625,3.5625,1.520306944847107
29-07-1999,3.25,3.625,5900,3.75,3.25,1.3869469165802002
30-07-1999,3.0625,3.3125,30800,3.5,3.0625,1.306930661201477
02-08-1999,3.25,3.375,19600,3.375,3.25,1.3869469165802002
03-08-1999,3.0,3.25,7600,3.25,3.0,1.2802588939666748
04-08-1999,3.0625,3.0625,14100,3.3125,3.25,1.3869469165802002
05-08-1999,3.0625,3.25,18400,3.5,3.3125,1.4136191606521606
06-08-1999,3.125,3.25,13500,3.6875,3.6875,1.5736514329910278
09-08-1999,3.5625,3.8125,17600,3.8125,3.6875,1.5736514329910278
10-08-1999,3.34375,3.6875,5000,3.6875,3.34375,1.426955223083496
