Date,Low,Open,Volume,High,Close,Adjusted Close
21-02-1973,9.375,0.0,4600,9.5,9.5,0.5392821431159973
22-02-1973,9.375,0.0,4100,9.5,9.5,0.5392821431159973
23-02-1973,9.25,0.0,6300,9.5,9.375,0.5321865081787109
26-02-1973,9.375,0.0,2100,9.5,9.5,0.5392821431159973
27-02-1973,9.375,0.0,4900,9.5,9.375,0.5321865081787109
28-02-1973,9.375,0.0,4400,9.5,9.5,0.5392821431159973
01-03-1973,9.375,0.0,1500,9.5,9.375,0.5321865081787109
02-03-1973,9.375,0.0,2100,9.5,9.5,0.5392821431159973
05-03-1973,9.375,0.0,7500,9.625,9.375,0.5321865081787109
06-03-1973,9.5,0.0,11100,9.625,9.625,0.5463781356811523
07-03-1973,9.5,0.0,3400,9.625,9.5,0.5392821431159973
08-03-1973,9.5,0.0,5600,9.75,9.625,0.5463781356811523
09-03-1973,9.625,0.0,8400,9.75,9.625,0.5463781356811523
12-03-1973,9.625,0.0,15300,9.875,9.875,0.5605698227882385
13-03-1973,9.75,0.0,5200,9.875,9.75,0.553473949432373
14-03-1973,9.75,0.0,4800,9.875,9.875,0.5605698227882385
15-03-1973,9.625,0.0,4700,9.875,9.625,0.5463781356811523
16-03-1973,9.625,0.0,9800,9.875,9.875,0.5605698227882385
19-03-1973,9.75,0.0,5800,9.875,9.875,0.5605698227882385
20-03-1973,9.75,0.0,6600,9.875,9.75,0.553473949432373
21-03-1973,9.75,0.0,11900,9.875,9.875,0.5605698227882385
22-03-1973,9.625,0.0,3900,9.875,9.625,0.5463781356811523
23-03-1973,9.625,0.0,7100,9.75,9.75,0.553473949432373
26-03-1973,9.75,0.0,4100,9.875,9.75,0.553473949432373
27-03-1973,9.75,0.0,4400,9.875,9.75,0.553473949432373
28-03-1973,9.625,0.0,5100,9.75,9.625,0.5463781356811523
29-03-1973,9.625,0.0,6800,9.875,9.75,0.553473949432373
30-03-1973,9.75,0.0,6900,9.875,9.75,0.553473949432373
02-04-1973,9.625,0.0,4300,9.875,9.625,0.5463781356811523
03-04-1973,9.625,0.0,5700,9.75,9.625,0.5463781356811523
