Date,Low,Open,Volume,High,Close,Adjusted Close
16-07-1993,15.0,15.0,115200,15.0,15.0,2.980923652648926
19-07-1993,15.0,15.0,15500,15.0,15.0,2.980923652648926
20-07-1993,15.0,15.0,10900,15.0,15.0,2.980923652648926
21-07-1993,15.0,15.0,19900,15.0,15.0,2.980923652648926
22-07-1993,15.0,15.0,48100,15.0,15.0,2.980923652648926
23-07-1993,15.0,15.0,49800,15.0,15.0,2.980923652648926
26-07-1993,15.0,15.0,3800,15.0,15.0,2.980923652648926
27-07-1993,15.0,15.0,13200,15.0,15.0,2.980923652648926
28-07-1993,15.0,15.0,64600,15.0,15.0,2.980923652648926
29-07-1993,14.75,14.875,1200,14.875,14.75,2.931241750717163
30-07-1993,14.75,14.75,600,14.75,14.75,2.931241750717163
02-08-1993,14.75,14.75,0,14.75,14.75,2.931241750717163
03-08-1993,14.75,14.75,800,14.75,14.75,2.931241750717163
04-08-1993,14.5,14.625,6000,14.625,14.5,2.8815574645996094
05-08-1993,14.375,14.5,7000,14.5,14.375,2.856717348098755
06-08-1993,14.375,14.375,100,14.375,14.375,2.856717348098755
09-08-1993,14.375,14.375,0,14.375,14.375,2.856717348098755
10-08-1993,14.375,14.375,1400,14.375,14.375,2.856717348098755
11-08-1993,14.375,14.375,0,14.375,14.375,2.856717348098755
12-08-1993,14.25,14.25,4400,14.375,14.375,2.856717348098755
13-08-1993,14.375,14.375,500,14.375,14.375,2.856717348098755
16-08-1993,14.25,14.25,3300,14.25,14.25,2.831876516342163
17-08-1993,14.125,14.125,11200,14.25,14.25,2.831876516342163
18-08-1993,14.375,14.375,200,14.375,14.375,2.856717348098755
19-08-1993,14.375,14.375,0,14.375,14.375,2.856717348098755
20-08-1993,14.375,14.375,4100,14.375,14.375,2.856717348098755
23-08-1993,14.25,14.25,200,14.25,14.25,2.831876516342163
24-08-1993,14.25,14.25,300,14.25,14.25,2.831876516342163
25-08-1993,14.375,14.375,100,14.375,14.375,2.856717348098755
26-08-1993,14.5,14.5,1700,14.625,14.625,2.9063992500305176
27-08-1993,14.375,14.375,3000,14.5,14.375,2.856717348098755
30-08-1993,14.375,14.5,800,14.5,14.375,2.856717348098755
31-08-1993,14.25,14.25,8400,14.25,14.25,2.831876516342163
01-09-1993,14.375,14.375,1500,14.375,14.375,2.856717348098755
02-09-1993,14.5,14.5,700,14.5,14.5,2.8815574645996094
03-09-1993,14.5,14.5,3800,14.5,14.5,2.8815574645996094
07-09-1993,14.5,14.5,600,14.5,14.5,2.8815574645996094
08-09-1993,14.375,14.375,1000,14.5,14.5,2.8815574645996094
09-09-1993,14.5,14.5,1400,14.5,14.5,2.8815574645996094
10-09-1993,14.125,14.375,12700,14.375,14.375,2.856717348098755
13-09-1993,14.375,14.375,2400,14.5,14.5,2.8815574645996094
14-09-1993,14.25,14.25,4000,14.25,14.25,2.8616786003112793
15-09-1993,14.25,14.375,2600,14.375,14.25,2.8616786003112793
16-09-1993,14.25,14.25,2300,14.375,14.25,2.8616786003112793
17-09-1993,14.125,14.125,14500,14.375,14.375,2.8867814540863037
20-09-1993,14.25,14.25,300,14.25,14.25,2.8616786003112793
21-09-1993,14.125,14.25,3300,14.375,14.375,2.8867814540863037
22-09-1993,14.375,14.375,2000,14.375,14.375,2.8867814540863037
23-09-1993,14.25,14.25,2600,14.25,14.25,2.8616786003112793
24-09-1993,14.25,14.375,3600,14.375,14.25,2.8616786003112793
27-09-1993,14.375,14.375,2500,14.375,14.375,2.8867814540863037
28-09-1993,14.375,14.375,0,14.375,14.375,2.8867814540863037
29-09-1993,14.375,14.375,6000,14.5,14.5,2.9118802547454834
30-09-1993,14.375,14.375,7700,14.5,14.375,2.8867814540863037
01-10-1993,14.25,14.625,19200,14.625,14.5,2.9118802547454834
04-10-1993,14.375,14.375,8900,14.625,14.625,2.9369864463806152
05-10-1993,14.5,14.5,4800,14.75,14.75,2.9620907306671143
06-10-1993,14.625,14.625,3200,14.875,14.875,2.9871888160705566
07-10-1993,14.875,14.875,0,14.875,14.875,2.9871888160705566
08-10-1993,14.75,14.75,1000,14.75,14.75,2.9620907306671143
11-10-1993,14.625,14.875,10600,14.875,14.625,2.9369864463806152
12-10-1993,14.5,14.5,1800,14.5,14.5,2.9264910221099854
13-10-1993,14.5,14.5,600,14.5,14.5,2.9264910221099854
14-10-1993,14.5,14.5,900,14.625,14.625,2.9517197608947754
15-10-1993,14.625,14.625,500,14.625,14.625,2.9517197608947754
18-10-1993,14.25,14.625,11700,14.625,14.375,2.901261329650879
19-10-1993,14.5,14.5,2000,14.5,14.5,2.9264910221099854
20-10-1993,14.375,14.375,600,14.5,14.5,2.9264910221099854
21-10-1993,14.375,14.375,4500,14.625,14.375,2.901261329650879
22-10-1993,14.375,14.375,0,14.375,14.375,2.901261329650879
25-10-1993,14.5,14.5,800,14.5,14.5,2.9264910221099854
26-10-1993,14.375,14.375,4600,14.5,14.5,2.9264910221099854
27-10-1993,14.375,14.375,100,14.375,14.375,2.901261329650879
28-10-1993,14.625,14.625,1600,14.625,14.625,2.9517197608947754
29-10-1993,14.625,14.625,6300,14.75,14.75,2.976947069168091
01-11-1993,14.625,14.75,7200,14.875,14.875,3.0021729469299316
02-11-1993,14.75,14.75,3400,14.75,14.75,2.976947069168091
03-11-1993,14.625,14.625,2700,14.625,14.625,2.9517197608947754
04-11-1993,14.5,14.75,5300,14.75,14.5,2.9264910221099854
05-11-1993,14.25,14.375,6400,14.5,14.25,2.8760342597961426
08-11-1993,14.25,14.25,300,14.25,14.25,2.8760342597961426
09-11-1993,14.5,14.5,3200,14.625,14.625,2.9517197608947754
10-11-1993,14.375,14.5,5700,14.5,14.5,2.9264910221099854
11-11-1993,14.25,14.375,1400,14.375,14.25,2.8760342597961426
12-11-1993,14.25,14.25,1000,14.25,14.25,2.8914546966552734
15-11-1993,14.25,14.25,3200,14.375,14.25,2.8914546966552734
16-11-1993,14.25,14.375,3200,14.375,14.25,2.8914546966552734
17-11-1993,14.25,14.25,2500,14.25,14.25,2.8914546966552734
18-11-1993,14.0,14.25,6100,14.375,14.0,2.840726613998413
19-11-1993,14.0,14.0,100,14.0,14.0,2.840726613998413
22-11-1993,13.5,13.875,5600,13.875,13.75,2.789998769760132
23-11-1993,13.625,13.625,1700,13.75,13.75,2.789998769760132
24-11-1993,13.75,13.75,0,13.75,13.75,2.789998769760132
26-11-1993,13.75,13.75,1400,13.875,13.75,2.789998769760132
29-11-1993,13.625,13.625,6100,13.75,13.75,2.789998769760132
30-11-1993,13.5,13.625,15200,13.875,13.875,2.815364360809326
01-12-1993,13.625,13.625,19400,13.75,13.625,2.764636993408203
02-12-1993,13.5,13.625,8000,13.75,13.75,2.789998769760132
03-12-1993,13.625,13.75,12600,13.75,13.625,2.764636993408203
06-12-1993,13.5,13.625,4400,13.75,13.75,2.789998769760132
07-12-1993,13.75,13.75,5700,14.0,14.0,2.840726613998413
08-12-1993,13.875,14.0,3300,14.0,13.875,2.815364360809326
09-12-1993,13.75,14.0,17700,14.0,13.875,2.815364360809326
10-12-1993,13.875,13.875,1700,14.0,14.0,2.840726613998413
13-12-1993,14.0,14.0,0,14.0,14.0,2.840726613998413
14-12-1993,13.5,14.0,13900,14.0,13.5,2.7848238945007324
15-12-1993,13.375,13.375,16200,13.625,13.625,2.81061053276062
16-12-1993,13.25,13.5,14800,13.5,13.375,2.759040355682373
17-12-1993,13.25,13.25,14800,13.375,13.375,2.759040355682373
20-12-1993,13.125,13.25,11200,13.375,13.125,2.7074685096740723
21-12-1993,13.0,13.0,29500,13.25,13.25,2.7332518100738525
22-12-1993,13.375,13.375,15800,13.5,13.375,2.759040355682373
23-12-1993,13.25,13.5,17100,13.5,13.25,2.7332518100738525
27-12-1993,13.375,13.5,14500,13.625,13.375,2.759040355682373
28-12-1993,13.375,13.375,4500,13.5,13.375,2.759040355682373
