Date,Low,Open,Volume,High,Close,Adjusted Close
23-09-1988,10.0,0.0,212500,10.0,10.0,1.1592944860458374
26-09-1988,10.0,0.0,40600,10.0,10.0,1.1592944860458374
27-09-1988,10.0,0.0,35300,10.125,10.125,1.1737865209579468
28-09-1988,10.0,0.0,37000,10.125,10.125,1.1737865209579468
29-09-1988,10.0,0.0,29600,10.125,10.125,1.1737865209579468
30-09-1988,10.0,0.0,12900,10.125,10.125,1.1737865209579468
03-10-1988,10.0,0.0,13600,10.125,10.0,1.1592944860458374
04-10-1988,10.0,0.0,11100,10.125,10.125,1.1737865209579468
05-10-1988,10.125,0.0,15100,10.125,10.125,1.1737865209579468
06-10-1988,10.0,0.0,39100,10.125,10.125,1.1737865209579468
07-10-1988,10.0,0.0,16800,10.125,10.125,1.1737865209579468
10-10-1988,10.0,0.0,8700,10.125,10.125,1.1737865209579468
11-10-1988,10.125,0.0,10400,10.125,10.125,1.1737865209579468
12-10-1988,10.0,0.0,43200,10.125,10.0,1.1592944860458374
13-10-1988,10.0,0.0,16500,10.125,10.125,1.1737865209579468
14-10-1988,10.0,0.0,13100,10.125,10.0,1.1592944860458374
17-10-1988,10.0,0.0,23100,10.125,10.125,1.1737865209579468
18-10-1988,10.0,0.0,42700,10.125,10.125,1.1737865209579468
19-10-1988,10.0,0.0,14700,10.125,10.0,1.1592944860458374
20-10-1988,10.0,0.0,5500,10.125,10.0,1.1592944860458374
21-10-1988,10.0,0.0,12300,10.125,10.125,1.1737865209579468
24-10-1988,10.0,0.0,22100,10.125,10.0,1.1592944860458374
25-10-1988,10.0,0.0,20000,10.125,10.0,1.1592944860458374
26-10-1988,10.0,0.0,27600,10.125,10.125,1.1737865209579468
27-10-1988,10.0,0.0,15700,10.125,10.125,1.1737865209579468
28-10-1988,10.0,0.0,23000,10.125,10.125,1.1737865209579468
31-10-1988,10.0,0.0,13100,10.125,10.125,1.1737865209579468
01-11-1988,10.0,0.0,25100,10.125,10.125,1.1737865209579468
02-11-1988,10.0,0.0,68600,10.125,10.125,1.1737865209579468
03-11-1988,10.0,0.0,40200,10.125,10.0,1.1592944860458374
