Date,Low,Open,Volume,High,Close,Adjusted Close
12-04-1993,15.0,15.0,24800,15.125,15.0,2.625307321548462
13-04-1993,15.0,15.0,24100,15.125,15.0,2.625307321548462
14-04-1993,15.0,15.125,35000,15.125,15.0,2.625307321548462
15-04-1993,15.0,15.0,89200,15.125,15.0,2.625307321548462
16-04-1993,15.0,15.0,40700,15.125,15.0,2.625307321548462
19-04-1993,15.0,15.125,9700,15.125,15.0,2.625307321548462
20-04-1993,15.0,15.0,13800,15.0,15.0,2.625307321548462
21-04-1993,15.0,15.0,28900,15.0,15.0,2.625307321548462
22-04-1993,15.0,15.0,25000,15.125,15.0,2.625307321548462
23-04-1993,15.0,15.0,10400,15.125,15.0,2.625307321548462
26-04-1993,15.0,15.125,17500,15.125,15.0,2.625307321548462
27-04-1993,15.0,15.125,3500,15.125,15.0,2.625307321548462
28-04-1993,15.0,15.125,10900,15.125,15.0,2.625307321548462
29-04-1993,15.0,15.0,1900,15.0,15.0,2.625307321548462
30-04-1993,15.0,15.0,12600,15.125,15.125,2.647183656692505
03-05-1993,15.0,15.125,7900,15.125,15.0,2.625307321548462
04-05-1993,14.875,15.0,40500,15.0,15.0,2.625307321548462
05-05-1993,15.0,15.0,14500,15.125,15.125,2.647183656692505
06-05-1993,15.0,15.0,5700,15.125,15.125,2.647183656692505
07-05-1993,15.0,15.0,23400,15.125,15.0,2.625307321548462
10-05-1993,15.0,15.0,9300,15.125,15.125,2.647183656692505
11-05-1993,15.0,15.125,14600,15.125,15.0,2.625307321548462
12-05-1993,15.0,15.0,5300,15.0,15.0,2.625307321548462
13-05-1993,15.0,15.0,8800,15.0,15.0,2.625307321548462
14-05-1993,15.0,15.0,3200,15.0,15.0,2.625307321548462
17-05-1993,15.0,15.125,28600,15.125,15.0,2.625307321548462
18-05-1993,15.0,15.0,50400,15.0,15.0,2.625307321548462
19-05-1993,15.0,15.0,14300,15.0,15.0,2.625307321548462
20-05-1993,15.0,15.0,23400,15.0,15.0,2.625307321548462
21-05-1993,15.0,15.0,22600,15.125,15.0,2.625307321548462
24-05-1993,14.75,14.875,17400,15.0,14.75,2.5815515518188477
25-05-1993,14.75,14.75,2000,14.75,14.75,2.5815515518188477
26-05-1993,14.625,14.75,5400,14.75,14.625,2.5596745014190674
27-05-1993,14.625,14.75,900,14.75,14.625,2.5596745014190674
28-05-1993,14.5,14.625,5400,14.625,14.5,2.537794589996338
01-06-1993,14.25,14.75,27200,14.75,14.25,2.494041919708252
02-06-1993,14.125,14.375,17500,14.5,14.5,2.537794589996338
03-06-1993,14.5,14.5,7600,14.75,14.75,2.5815515518188477
04-06-1993,14.5,14.625,15700,14.625,14.625,2.5596745014190674
07-06-1993,14.625,14.625,5700,14.75,14.625,2.5596745014190674
08-06-1993,14.5,14.625,9100,14.75,14.5,2.537794589996338
09-06-1993,14.25,14.5,23600,14.625,14.375,2.5159177780151367
10-06-1993,14.25,14.25,1700,14.375,14.375,2.5159177780151367
11-06-1993,14.375,14.375,16400,14.625,14.625,2.5596745014190674
14-06-1993,14.25,14.25,3500,14.5,14.375,2.5409352779388428
15-06-1993,14.25,14.5,11000,14.5,14.375,2.5409352779388428
16-06-1993,14.25,14.25,14600,14.375,14.375,2.5409352779388428
17-06-1993,14.25,14.25,3000,14.375,14.25,2.518841505050659
18-06-1993,14.125,14.125,3900,14.25,14.25,2.518841505050659
21-06-1993,14.125,14.25,13600,14.375,14.25,2.518841505050659
22-06-1993,14.0,14.125,12900,14.375,14.125,2.496748208999634
23-06-1993,13.625,14.0,23700,14.0,13.875,2.45255708694458
24-06-1993,13.875,14.0,22800,14.125,14.0,2.4746510982513428
25-06-1993,14.0,14.0,33900,14.125,14.0,2.4746510982513428
28-06-1993,13.875,14.0,12800,14.25,14.25,2.518841505050659
29-06-1993,14.125,14.25,6800,14.375,14.125,2.496748208999634
30-06-1993,14.0,14.125,18600,14.25,14.25,2.518841505050659
01-07-1993,14.25,14.25,38500,14.5,14.375,2.5409352779388428
02-07-1993,14.375,14.5,24700,14.625,14.5,2.56303334236145
06-07-1993,14.25,14.375,23700,14.5,14.375,2.5409352779388428
07-07-1993,14.5,14.5,31800,14.625,14.625,2.585125207901001
08-07-1993,14.5,14.75,22200,14.75,14.625,2.585125207901001
09-07-1993,14.625,14.625,18000,14.625,14.625,2.585125207901001
12-07-1993,14.5,14.625,31500,14.625,14.5,2.56303334236145
13-07-1993,14.25,14.5,16000,14.5,14.25,2.53229022026062
14-07-1993,14.375,14.375,6400,14.5,14.5,2.5767176151275635
15-07-1993,14.5,14.5,7700,14.625,14.625,2.598928451538086
16-07-1993,14.5,14.5,8400,14.625,14.5,2.5767176151275635
19-07-1993,14.375,14.5,33100,14.625,14.375,2.5545027256011963
20-07-1993,14.375,14.375,1300,14.5,14.5,2.5767176151275635
21-07-1993,14.375,14.375,11000,14.5,14.5,2.5767176151275635
22-07-1993,14.5,14.5,26000,14.625,14.625,2.598928451538086
23-07-1993,14.5,14.5,7500,14.625,14.625,2.598928451538086
26-07-1993,14.125,14.5,25600,14.625,14.375,2.5545027256011963
27-07-1993,14.25,14.375,6800,14.5,14.5,2.5767176151275635
28-07-1993,14.375,14.5,6400,14.5,14.375,2.5545027256011963
29-07-1993,14.375,14.5,6100,14.5,14.375,2.5545027256011963
30-07-1993,14.25,14.5,5000,14.5,14.375,2.5545027256011963
02-08-1993,14.25,14.25,5900,14.5,14.5,2.5767176151275635
03-08-1993,14.375,14.5,5200,14.5,14.375,2.5545027256011963
04-08-1993,14.25,14.5,50200,14.625,14.5,2.5767176151275635
05-08-1993,14.5,14.5,18200,14.625,14.5,2.5767176151275635
06-08-1993,14.25,14.5,51400,14.5,14.5,2.5767176151275635
09-08-1993,14.375,14.375,9700,14.5,14.5,2.5767176151275635
10-08-1993,14.5,14.5,7000,14.625,14.625,2.598928451538086
11-08-1993,14.25,14.5,19900,14.625,14.375,2.5545027256011963
12-08-1993,14.375,14.375,10600,14.5,14.5,2.5767176151275635
13-08-1993,14.375,14.5,7500,14.5,14.5,2.5767176151275635
16-08-1993,14.25,14.5,23200,14.5,14.375,2.56813907623291
17-08-1993,14.125,14.375,26300,14.375,14.25,2.5458085536956787
18-08-1993,14.125,14.25,23900,14.375,14.375,2.56813907623291
19-08-1993,14.125,14.375,19600,14.375,14.375,2.56813907623291
20-08-1993,14.25,14.25,32300,14.375,14.375,2.56813907623291
23-08-1993,14.25,14.25,31000,14.5,14.375,2.56813907623291
24-08-1993,14.25,14.25,12500,14.5,14.25,2.5458085536956787
25-08-1993,14.25,14.25,16400,14.375,14.375,2.56813907623291
26-08-1993,14.25,14.375,12500,14.375,14.25,2.5458085536956787
27-08-1993,14.25,14.375,22300,14.5,14.25,2.5458085536956787
30-08-1993,14.25,14.375,7600,14.5,14.375,2.56813907623291
31-08-1993,14.375,14.5,47000,14.625,14.625,2.6128034591674805
01-09-1993,14.5,14.75,45100,14.75,14.625,2.6128034591674805
02-09-1993,14.5,14.5,13600,14.75,14.75,2.63513445854187
03-09-1993,14.625,14.625,18900,14.75,14.625,2.6128034591674805
07-09-1993,14.625,14.625,10600,14.75,14.625,2.6128034591674805
08-09-1993,14.5,14.625,25900,14.75,14.5,2.5904734134674072
09-09-1993,14.5,14.5,14900,14.625,14.5,2.5904734134674072
10-09-1993,14.5,14.625,29400,14.625,14.625,2.6128034591674805
13-09-1993,14.375,14.5,50100,14.625,14.5,2.5904734134674072
14-09-1993,14.375,14.375,37100,14.5,14.5,2.6041228771209717
15-09-1993,14.375,14.5,16300,14.5,14.5,2.6041228771209717
16-09-1993,14.375,14.5,37900,14.625,14.625,2.6265709400177
17-09-1993,14.25,14.5,21400,14.625,14.5,2.6041228771209717
20-09-1993,14.125,14.375,24100,14.375,14.375,2.5816714763641357
21-09-1993,14.25,14.375,18200,14.375,14.375,2.5816714763641357
22-09-1993,14.25,14.375,15900,14.5,14.375,2.5816714763641357
23-09-1993,14.25,14.375,16100,14.5,14.375,2.5816714763641357
24-09-1993,14.25,14.375,20000,14.5,14.375,2.5816714763641357
27-09-1993,14.375,14.5,18400,14.5,14.375,2.5816714763641357
28-09-1993,14.25,14.5,17600,14.5,14.5,2.6041228771209717
29-09-1993,14.25,14.5,18500,14.5,14.5,2.6041228771209717
30-09-1993,14.25,14.5,73600,14.75,14.75,2.649020195007324
01-10-1993,14.625,14.75,23200,14.75,14.75,2.649020195007324
04-10-1993,14.5,14.625,32200,14.75,14.625,2.6265709400177
05-10-1993,14.375,14.5,32000,14.5,14.5,2.6041228771209717
06-10-1993,14.375,14.5,27100,14.5,14.5,2.6041228771209717
07-10-1993,14.375,14.5,19300,14.625,14.625,2.6265709400177
08-10-1993,14.375,14.625,10600,14.625,14.625,2.6265709400177
11-10-1993,14.625,14.625,33500,14.75,14.75,2.649020195007324
12-10-1993,14.375,14.5,35200,14.625,14.5,2.617429494857788
13-10-1993,14.375,14.5,29700,14.5,14.5,2.617429494857788
14-10-1993,14.375,14.5,22100,14.625,14.375,2.5948638916015625
15-10-1993,14.375,14.5,41200,14.625,14.5,2.617429494857788
18-10-1993,14.375,14.5,19400,14.5,14.375,2.5948638916015625
19-10-1993,14.375,14.5,18600,14.5,14.5,2.617429494857788
20-10-1993,14.5,14.625,10300,14.625,14.625,2.6399946212768555
21-10-1993,14.375,14.625,17100,14.625,14.375,2.5948638916015625
22-10-1993,14.375,14.375,23500,14.625,14.5,2.617429494857788
25-10-1993,14.5,14.625,17200,14.625,14.5,2.617429494857788
26-10-1993,14.375,14.5,34000,14.625,14.5,2.617429494857788
27-10-1993,14.5,14.5,9200,14.625,14.5,2.617429494857788
28-10-1993,14.375,14.625,13900,14.625,14.375,2.5948638916015625
29-10-1993,14.375,14.375,42300,14.625,14.625,2.6399946212768555
01-11-1993,14.5,14.625,39700,14.625,14.5,2.617429494857788
02-11-1993,14.625,14.625,14600,14.75,14.75,2.6625587940216064
