Date,Low,Open,Volume,High,Close,Adjusted Close
27-03-1992,1.25,1.25,15200,1.4375,1.4375,1.0653592348098755
30-03-1992,1.5,1.5,67000,2.0,1.875,1.389599084854126
31-03-1992,1.6875,1.8125,16800,1.8125,1.6875,1.2506392002105713
01-04-1992,1.5,1.625,19200,1.625,1.5625,1.1579992771148682
02-04-1992,1.5,1.5,24000,1.5625,1.5625,1.1579992771148682
03-04-1992,1.5,1.5625,12600,1.5625,1.5,1.1116793155670166
06-04-1992,1.5,1.5,1200,1.5,1.5,1.1116793155670166
07-04-1992,1.5,1.5,7800,1.5625,1.5,1.1116793155670166
08-04-1992,1.4375,1.5,18600,1.5,1.4375,1.0653592348098755
09-04-1992,1.375,1.4375,9400,1.4375,1.375,1.019039511680603
10-04-1992,1.375,1.375,6000,1.375,1.375,1.019039511680603
13-04-1992,1.3125,1.3125,4600,1.3125,1.3125,0.9727192521095276
14-04-1992,1.3125,1.3125,0,1.3125,1.3125,0.9727192521095276
15-04-1992,1.3125,1.3125,4000,1.3125,1.3125,0.9727192521095276
16-04-1992,1.25,1.25,800,1.25,1.25,0.926399290561676
20-04-1992,1.25,1.25,0,1.25,1.25,0.926399290561676
21-04-1992,1.25,1.25,0,1.25,1.25,0.926399290561676
22-04-1992,1.125,1.1875,10400,1.1875,1.125,0.8337591886520386
23-04-1992,1.125,1.125,2000,1.125,1.125,0.8337591886520386
24-04-1992,1.1875,1.1875,1000,1.1875,1.1875,0.8800795078277588
27-04-1992,1.1875,1.25,4400,1.25,1.1875,0.8800795078277588
28-04-1992,1.1875,1.1875,0,1.1875,1.1875,0.8800795078277588
29-04-1992,1.25,1.25,2000,1.25,1.25,0.926399290561676
30-04-1992,1.25,1.25,0,1.25,1.25,0.926399290561676
01-05-1992,1.25,1.25,0,1.25,1.25,0.926399290561676
04-05-1992,1.25,1.25,0,1.25,1.25,0.926399290561676
05-05-1992,1.1875,1.1875,800,1.1875,1.1875,0.8800795078277588
06-05-1992,1.1875,1.1875,600,1.1875,1.1875,0.8800795078277588
07-05-1992,1.1875,1.1875,0,1.1875,1.1875,0.8800795078277588
08-05-1992,1.25,1.25,6000,1.3125,1.25,0.926399290561676
11-05-1992,1.1875,1.25,17200,1.25,1.1875,0.8800795078277588
12-05-1992,1.1875,1.25,2400,1.25,1.1875,0.8800795078277588
13-05-1992,1.25,1.25,4000,1.25,1.25,0.926399290561676
14-05-1992,1.1875,1.1875,6400,1.1875,1.1875,0.8800795078277588
15-05-1992,1.25,1.25,8000,1.3125,1.3125,0.9727192521095276
18-05-1992,1.3125,1.3125,0,1.3125,1.3125,0.9727192521095276
19-05-1992,1.25,1.3125,2000,1.3125,1.25,0.926399290561676
20-05-1992,1.25,1.3125,1000,1.3125,1.25,0.926399290561676
21-05-1992,1.3125,1.3125,10000,1.3125,1.3125,0.9727192521095276
22-05-1992,1.25,1.25,4000,1.25,1.25,0.926399290561676
26-05-1992,1.25,1.25,3000,1.25,1.25,0.926399290561676
27-05-1992,1.25,1.3125,4000,1.3125,1.3125,0.9727192521095276
28-05-1992,1.125,1.25,16400,1.25,1.25,0.926399290561676
29-05-1992,1.3125,1.3125,800,1.3125,1.3125,0.9727192521095276
01-06-1992,1.25,1.25,2000,1.25,1.25,0.926399290561676
02-06-1992,1.25,1.25,10000,1.25,1.25,0.926399290561676
03-06-1992,1.25,1.25,2000,1.25,1.25,0.926399290561676
04-06-1992,1.25,1.25,5200,1.25,1.25,0.926399290561676
05-06-1992,1.25,1.25,400,1.25,1.25,0.926399290561676
08-06-1992,1.25,1.25,0,1.25,1.25,0.926399290561676
09-06-1992,1.3125,1.3125,1400,1.3125,1.3125,0.9727192521095276
10-06-1992,1.3125,1.3125,1200,1.3125,1.3125,0.9727192521095276
11-06-1992,1.3125,1.3125,0,1.3125,1.3125,0.9727192521095276
12-06-1992,1.25,1.25,200,1.25,1.25,0.926399290561676
15-06-1992,1.25,1.25,0,1.25,1.25,0.926399290561676
16-06-1992,1.25,1.25,0,1.25,1.25,0.926399290561676
