Date,Low,Open,Volume,High,Close,Adjusted Close
21-03-2014,180.0,208.0,25500,211.75,181.25,181.25
24-03-2014,168.75,185.0,4400,187.5,169.0,169.0
25-03-2014,175.0,181.0,3700,182.25,178.25,178.25
26-03-2014,170.0,178.75,2200,181.0,173.25,173.25
27-03-2014,168.75,181.0,2800,181.0,168.75,168.75
28-03-2014,166.27499389648438,169.25,2600,176.25,173.0,173.0
31-03-2014,170.0,174.75,800,176.25,171.0,171.0
01-04-2014,162.75,169.75,3200,171.25,168.75,168.75
02-04-2014,168.75,168.75,1600,175.0,175.0,175.0
03-04-2014,170.25,176.5,1600,177.25,174.75,174.75
04-04-2014,170.0,173.0,600,174.5,172.5,172.5
07-04-2014,170.0,178.75,600,178.75,172.25,172.25
08-04-2014,169.5,169.5,700,176.0,174.75,174.75
09-04-2014,172.25,172.25,2300,178.75,178.5,178.5
10-04-2014,169.5,178.0,900,178.25,176.25,176.25
11-04-2014,174.25,174.25,700,178.75,178.75,178.75
14-04-2014,174.25,178.25,400,178.75,175.75,175.75
15-04-2014,170.0,173.5,2000,174.75,171.125,171.125
16-04-2014,166.25,170.75,1700,176.0,169.0,169.0
17-04-2014,168.75,170.75,1100,175.5,175.0,175.0
21-04-2014,170.0,171.0,800,173.5,173.25,173.25
22-04-2014,170.0,171.5,500,172.0,171.75,171.75
23-04-2014,171.75,171.75,400,174.75,174.75,174.75
24-04-2014,171.25,174.875,500,174.875,174.0,174.0
25-04-2014,170.0,172.0,1000,173.5,173.5,173.5
28-04-2014,167.5,170.75,900,174.25,174.25,174.25
29-04-2014,169.0,170.25,700,173.25,172.75,172.75
30-04-2014,166.75,170.0,5600,172.5,171.1750030517578,171.1750030517578
01-05-2014,160.77499389648438,174.5,900,174.5,168.5,168.5
02-05-2014,160.0,171.25,1000,171.25,161.25,161.25
05-05-2014,157.75,165.75,300,165.75,158.75,158.75
06-05-2014,159.75,159.75,300,165.0,161.0,161.0
07-05-2014,155.0,160.0,400,160.02499389648438,157.0,157.0
08-05-2014,149.25,151.75,800,156.25,154.75,154.75
09-05-2014,153.0,155.5,400,160.25,157.5,157.5
12-05-2014,157.5,157.5,200,163.25,159.25,159.25
13-05-2014,153.75,160.0,100,160.5,157.5,157.5
14-05-2014,153.75,159.5,2600,172.5,166.0,166.0
15-05-2014,166.25,167.5,1200,173.75,167.5,167.5
16-05-2014,165.02499389648438,171.25,600,171.25,165.02499389648438,165.02499389648438
19-05-2014,163.75,163.75,700,166.5,163.75,163.75
20-05-2014,163.75,165.0,100,165.0,164.0,164.0
21-05-2014,163.75,164.0,900,170.75,170.75,170.75
22-05-2014,158.5,167.5,100,167.5,158.5,158.5
23-05-2014,157.75,163.0,900,164.0,157.75,157.75
27-05-2014,152.5,159.0,800,159.0,157.25,157.25
28-05-2014,149.25,157.97500610351562,1600,158.0,151.5,151.5
29-05-2014,151.25,151.25,1000,158.25,158.0,158.0
30-05-2014,158.75,161.25,200,161.25,158.75,158.75
02-06-2014,157.75,157.75,100,165.5500030517578,162.75,162.75
03-06-2014,163.75,163.75,200,169.75,166.14999389648438,166.14999389648438
04-06-2014,156.5,164.0,800,168.5,156.75,156.75
05-06-2014,158.0,159.22500610351562,100,159.25,158.89999389648438,158.89999389648438
06-06-2014,159.0,159.0,300,168.25,160.5,160.5
09-06-2014,157.5,157.5,400,167.64999389648438,164.5,164.5
10-06-2014,157.75,157.75,300,170.0,169.5,169.5
11-06-2014,163.0,168.5,0,168.5,167.0,167.0
12-06-2014,165.75,168.0,400,171.25,168.75,168.75
13-06-2014,157.75,157.75,600,169.875,168.5,168.5
16-06-2014,162.5,171.25,400,171.25,171.0,171.0
17-06-2014,162.5,169.0,300,169.0,166.0,166.0
