Date,Low,Open,Volume,High,Close,Adjusted Close
11-02-1994,14.125,14.5,5300,14.5,14.25,1.2181936502456665
14-02-1994,14.375,14.375,22900,14.5,14.375,1.2288789749145508
15-02-1994,14.375,14.375,12600,14.5,14.375,1.2288789749145508
16-02-1994,14.375,14.5,20300,14.75,14.5,1.239565134048462
17-02-1994,14.5,14.5,8700,14.625,14.5,1.239565134048462
18-02-1994,14.625,14.625,19800,14.75,14.75,1.2609367370605469
22-02-1994,14.5,14.75,13000,14.75,14.75,1.2609367370605469
23-02-1994,14.5,14.75,21400,14.75,14.5,1.239565134048462
24-02-1994,14.5,14.5,12400,14.625,14.5,1.239565134048462
25-02-1994,14.5,14.5,14400,14.75,14.75,1.2609367370605469
28-02-1994,14.625,14.75,57900,15.0,15.0,1.2823078632354736
01-03-1994,14.5,14.875,34900,15.0,14.625,1.250251293182373
02-03-1994,14.375,14.5,23800,14.875,14.875,1.2716223001480103
03-03-1994,14.625,14.625,5300,14.875,14.875,1.2716223001480103
04-03-1994,14.75,14.875,15900,14.875,14.875,1.2716223001480103
07-03-1994,14.75,14.875,10000,14.875,14.875,1.2716223001480103
08-03-1994,14.875,14.875,14700,15.0,15.0,1.2823078632354736
09-03-1994,14.75,14.875,28600,15.0,15.0,1.2891833782196045
10-03-1994,14.875,14.875,10700,15.0,15.0,1.2891833782196045
11-03-1994,14.875,14.875,14000,15.0,15.0,1.2891833782196045
14-03-1994,14.75,15.0,9800,15.0,14.75,1.2676979303359985
15-03-1994,14.75,14.875,16500,14.875,14.75,1.2676979303359985
16-03-1994,14.75,14.875,15100,14.875,14.75,1.2676979303359985
17-03-1994,14.75,14.75,14000,14.875,14.875,1.2784404754638672
18-03-1994,14.75,14.875,26700,15.0,15.0,1.2891833782196045
21-03-1994,14.875,15.0,12100,15.0,14.875,1.2784404754638672
22-03-1994,14.75,14.75,21700,15.0,15.0,1.2891833782196045
23-03-1994,14.75,14.875,18400,14.875,14.75,1.2676979303359985
24-03-1994,14.625,14.875,23600,14.875,14.75,1.2676979303359985
