Date,Low,Open,Volume,High,Close,Adjusted Close
03-06-1998,16.0,16.0,0,16.0,16.0,16.0
04-06-1998,16.0,16.0,0,16.0,16.0,16.0
05-06-1998,16.0,16.0,0,16.0,16.0,16.0
08-06-1998,15.75,15.75,4400,16.375,16.375,16.375
09-06-1998,16.375,16.375,0,16.375,16.375,16.375
10-06-1998,15.75,15.75,2200,15.875,15.75,15.75
11-06-1998,15.75,15.75,100,15.75,15.75,15.75
12-06-1998,15.5,15.75,6100,15.75,15.625,15.625
15-06-1998,15.5,15.5,300,15.5,15.5,15.5
16-06-1998,15.5,15.5,500,15.5,15.5,15.5
17-06-1998,15.5,15.5,8800,16.125,15.5,15.5
18-06-1998,15.75,15.75,1800,15.75,15.75,15.75
19-06-1998,15.5,15.5,1500,15.5,15.5,15.5
22-06-1998,15.5,15.5,0,15.5,15.5,15.5
23-06-1998,15.375,15.5,24200,15.625,15.625,15.625
24-06-1998,15.25,15.25,2400,15.5,15.25,15.25
25-06-1998,15.25,15.25,0,15.25,15.25,15.25
26-06-1998,14.75,14.75,1600,14.75,14.75,14.75
29-06-1998,14.75,14.75,0,14.75,14.75,14.75
30-06-1998,13.5,14.5,8200,15.0,13.5,13.5
01-07-1998,13.625,13.625,8300,14.25,13.625,13.625
02-07-1998,13.5,13.5,2100,14.5,14.5,14.5
06-07-1998,13.5,13.5,500,13.5,13.5,13.5
07-07-1998,13.5,13.5,1500,14.0,14.0,14.0
08-07-1998,14.125,14.125,500,14.125,14.125,14.125
09-07-1998,14.125,14.125,0,14.125,14.125,14.125
10-07-1998,13.5,13.5,5600,13.5,13.5,13.5
13-07-1998,13.75,13.75,2000,13.75,13.75,13.75
14-07-1998,13.5,13.5,100,13.5,13.5,13.5
15-07-1998,13.5,13.5,1000,13.5,13.5,13.5
16-07-1998,14.5,14.5,400,14.5,14.5,14.5
17-07-1998,13.5,13.5,500,13.5,13.5,13.5
20-07-1998,13.5,13.5,0,13.5,13.5,13.5
21-07-1998,13.5,13.5,300,13.5,13.5,13.5
22-07-1998,13.5,13.5,0,13.5,13.5,13.5
23-07-1998,13.75,13.75,900,13.75,13.75,13.75
24-07-1998,13.75,13.75,0,13.75,13.75,13.75
27-07-1998,13.75,13.75,0,13.75,13.75,13.75
28-07-1998,13.5,13.5,1700,13.75,13.75,13.75
29-07-1998,13.25,13.5,3100,13.5,13.25,13.25
30-07-1998,13.0,13.0,1000,13.0,13.0,13.0
31-07-1998,13.0,13.0,4600,13.25,13.25,13.25
03-08-1998,13.125,13.125,2000,13.125,13.125,13.125
04-08-1998,13.125,13.125,0,13.125,13.125,13.125
05-08-1998,12.5,12.75,8500,13.0,12.875,12.875
06-08-1998,13.0,13.0,3300,13.0,13.0,13.0
07-08-1998,13.5,13.5,300,13.5,13.5,13.5
10-08-1998,13.5,13.5,0,13.5,13.5,13.5
11-08-1998,12.5,12.5,2500,12.5,12.5,12.5
12-08-1998,13.25,13.25,500,13.25,13.25,13.25
13-08-1998,12.25,12.25,30000,12.375,12.375,12.375
14-08-1998,12.375,12.375,0,12.375,12.375,12.375
17-08-1998,12.5,12.5,6100,12.5,12.5,12.5
18-08-1998,13.5,13.5,6000,14.5,13.5,13.5
19-08-1998,12.5,13.5,1300,13.5,12.5,12.5
20-08-1998,12.5,12.5,13400,12.5,12.5,12.5
21-08-1998,12.5,12.5,1400,13.25,12.5,12.5
24-08-1998,12.5,12.5,42400,12.625,12.5,12.5
25-08-1998,12.5,12.5,10000,12.625,12.625,12.625
26-08-1998,12.625,12.625,0,12.625,12.625,12.625
27-08-1998,12.25,12.25,800,12.25,12.25,12.25
28-08-1998,12.0,12.0,8700,12.125,12.125,12.125
31-08-1998,12.0,12.0,1500,12.0,12.0,12.0
01-09-1998,12.0,12.0,1500,12.375,12.375,12.375
02-09-1998,12.375,12.375,0,12.375,12.375,12.375
03-09-1998,12.375,12.375,0,12.375,12.375,12.375
04-09-1998,12.375,12.375,0,12.375,12.375,12.375
08-09-1998,12.0,12.0,1000,12.0,12.0,12.0
09-09-1998,12.0,12.0,0,12.0,12.0,12.0
10-09-1998,12.0,12.0,0,12.0,12.0,12.0
11-09-1998,12.0,12.0,100,12.0,12.0,12.0
14-09-1998,13.5,13.5,1500,14.25,14.25,14.25
15-09-1998,12.0,12.0,500,14.25,14.25,14.25
16-09-1998,12.0,12.0,200,12.0,12.0,12.0
17-09-1998,12.0,12.0,3500,12.25,12.0,12.0
18-09-1998,12.0,12.0,100,12.0,12.0,12.0
21-09-1998,12.0,12.0,100,12.0,12.0,12.0
22-09-1998,12.0,12.0,0,12.0,12.0,12.0
23-09-1998,12.0,12.0,800,12.0,12.0,12.0
24-09-1998,12.0,12.0,3000,12.0,12.0,12.0
25-09-1998,13.0,13.0,200,13.0,13.0,13.0
28-09-1998,13.0,13.0,3000,13.0,13.0,13.0
29-09-1998,13.0,13.0,0,13.0,13.0,13.0
30-09-1998,12.375,12.375,4000,12.375,12.375,12.375
01-10-1998,12.375,12.375,0,12.375,12.375,12.375
02-10-1998,12.0,12.0,2800,12.125,12.125,12.125
05-10-1998,12.0,12.0,10400,12.0625,12.0,12.0
06-10-1998,12.0,12.0,5900,12.0,12.0,12.0
07-10-1998,12.25,12.25,4000,12.25,12.25,12.25
08-10-1998,12.25,12.25,500,12.25,12.25,12.25
09-10-1998,12.25,12.25,0,12.25,12.25,12.25
12-10-1998,12.25,12.25,0,12.25,12.25,12.25
13-10-1998,12.25,12.25,0,12.25,12.25,12.25
14-10-1998,12.0,12.75,1000,12.75,12.0,12.0
15-10-1998,12.0,12.0,0,12.0,12.0,12.0
16-10-1998,12.0,12.0,0,12.0,12.0,12.0
19-10-1998,12.0,12.0,0,12.0,12.0,12.0
20-10-1998,12.0,12.0,0,12.0,12.0,12.0
21-10-1998,12.25,12.5,1400,13.0,12.25,12.25
22-10-1998,12.25,12.25,0,12.25,12.25,12.25
23-10-1998,12.0,13.25,1200,13.25,12.0,12.0
26-10-1998,12.0,12.25,73700,12.25,12.125,12.125
27-10-1998,12.125,12.125,0,12.125,12.125,12.125
28-10-1998,12.0,12.0,500,12.0,12.0,12.0
29-10-1998,12.0,12.0,4800,12.0,12.0,12.0
30-10-1998,12.25,12.25,1900,12.25,12.25,12.25
02-11-1998,12.0,12.0,1800,12.0,12.0,12.0
03-11-1998,12.0,12.0,0,12.0,12.0,12.0
04-11-1998,13.125,13.125,300,13.125,13.125,13.125
05-11-1998,12.25,12.25,9300,12.375,12.375,12.375
06-11-1998,13.125,13.125,500,13.125,13.125,13.125
09-11-1998,12.25,13.125,3200,13.125,12.25,12.25
10-11-1998,12.25,12.25,7500,12.75,12.75,12.75
11-11-1998,12.0,12.0,1100,12.0,12.0,12.0
12-11-1998,12.0,12.0,0,12.0,12.0,12.0
13-11-1998,12.75,12.75,1000,12.75,12.75,12.75
16-11-1998,12.0,12.0,300,12.0,12.0,12.0
17-11-1998,12.0,12.125,1200,12.125,12.0,12.0
18-11-1998,12.0,12.0,0,12.0,12.0,12.0
19-11-1998,12.0,12.0,400,12.0,12.0,12.0
20-11-1998,12.0,12.0,0,12.0,12.0,12.0
23-11-1998,12.0,12.0,2500,12.125,12.0,12.0
24-11-1998,12.0,12.0,0,12.0,12.0,12.0
25-11-1998,12.0,12.0,32000,12.125,12.125,12.125
27-11-1998,12.125,12.125,0,12.125,12.125,12.125
30-11-1998,12.0,12.0,4100,12.125,12.125,12.125
01-12-1998,12.125,12.125,5100,12.25,12.25,12.25
02-12-1998,12.25,12.25,0,12.25,12.25,12.25
03-12-1998,12.25,12.25,0,12.25,12.25,12.25
04-12-1998,12.125,12.25,2200,12.25,12.125,12.125
07-12-1998,12.125,12.125,0,12.125,12.125,12.125
08-12-1998,12.125,12.25,4100,12.25,12.25,12.25
09-12-1998,12.25,12.25,0,12.25,12.25,12.25
10-12-1998,11.5,12.0,2000,12.0625,12.0,12.0
11-12-1998,12.0,12.0,3500,12.125,12.125,12.125
14-12-1998,11.5,11.5,1400,11.5,11.5,11.5
15-12-1998,11.5,11.5,400,11.5,11.5,11.5
16-12-1998,11.5,12.125,20100,12.125,11.625,11.625
17-12-1998,11.625,11.625,0,11.625,11.625,11.625
18-12-1998,11.625,12.0,1700,12.0,11.625,11.625
21-12-1998,12.5,12.5,2000,12.5,12.5,12.5
22-12-1998,11.625,11.625,1500,11.625,11.625,11.625
23-12-1998,11.5,12.25,4400,12.25,11.75,11.75
24-12-1998,11.5,11.5,6000,12.0,11.5,11.5
28-12-1998,11.0,11.75,8100,12.0,11.0,11.0
29-12-1998,11.125,11.25,11600,11.375,11.375,11.375
30-12-1998,11.5,11.5,4500,11.5,11.5,11.5
31-12-1998,11.75,11.75,4100,12.25,12.25,12.25
04-01-1999,12.0,12.0,100,12.0,12.0,12.0
05-01-1999,12.0,12.0,2000,12.5,12.5,12.5
06-01-1999,12.0,12.0,300,12.0,12.0,12.0
07-01-1999,12.0,12.0,104300,12.5,12.0625,12.0625
08-01-1999,12.5,12.5,500,12.5,12.5,12.5
11-01-1999,12.0,12.0,1300,12.75,12.25,12.25
12-01-1999,12.5,12.5,500,12.5,12.5,12.5
13-01-1999,12.0,12.5,26400,12.625,12.125,12.125
14-01-1999,12.0,12.0,2700,12.75,12.25,12.25
15-01-1999,13.0,13.0,100,13.0,13.0,13.0
19-01-1999,12.0,12.0,1000,12.25,12.25,12.25
20-01-1999,12.0,12.0,300,12.0,12.0,12.0
21-01-1999,12.0,12.0,0,12.0,12.0,12.0
22-01-1999,12.5,12.5,400,12.5,12.5,12.5
25-01-1999,12.0,12.0,1400,12.75,12.75,12.75
26-01-1999,12.0,12.0,500,12.0,12.0,12.0
27-01-1999,12.0,12.0,0,12.0,12.0,12.0
28-01-1999,12.0,12.0,0,12.0,12.0,12.0
29-01-1999,12.0,12.0,400,12.75,12.75,12.75
01-02-1999,12.0,12.0,2300,12.25,12.0,12.0
02-02-1999,12.0,12.0,0,12.0,12.0,12.0
03-02-1999,12.0,12.0,100,12.0,12.0,12.0
04-02-1999,12.25,12.25,9900,12.375,12.375,12.375
05-02-1999,12.0,12.0,100,12.0,12.0,12.0
08-02-1999,12.125,12.3125,500,12.3125,12.125,12.125
09-02-1999,12.25,12.5,3200,12.5,12.25,12.25
10-02-1999,12.25,12.25,600,12.25,12.25,12.25
11-02-1999,12.375,12.75,2400,12.75,12.5,12.5
12-02-1999,12.125,12.25,2000,13.125,12.125,12.125
16-02-1999,12.5,12.625,2500,12.625,12.625,12.625
17-02-1999,12.125,12.125,200,12.125,12.125,12.125
18-02-1999,13.0,13.0,2800,15.0,15.0,15.0
19-02-1999,15.0,15.0,200,15.0,15.0,15.0
22-02-1999,12.0,15.25,15000,15.25,12.0,12.0
23-02-1999,13.75,13.75,8900,14.25,14.25,14.25
24-02-1999,12.0,12.0,400,12.25,12.25,12.25
25-02-1999,12.25,12.25,0,12.25,12.25,12.25
26-02-1999,13.0,13.0,400,13.0,13.0,13.0
01-03-1999,12.125,12.125,1100,12.25,12.25,12.25
02-03-1999,12.25,12.25,0,12.25,12.25,12.25
03-03-1999,12.25,12.25,0,12.25,12.25,12.25
04-03-1999,12.0,12.125,500,13.875,12.0,12.0
05-03-1999,12.0,12.0,800,12.0,12.0,12.0
08-03-1999,12.0,12.0625,29700,12.25,12.25,12.25
09-03-1999,12.0,12.0,2900,12.125,12.125,12.125
10-03-1999,11.5,12.75,2300,12.75,11.5,11.5
11-03-1999,11.75,12.0,2400,12.0,11.75,11.75
12-03-1999,11.5,11.5,400,11.5,11.5,11.5
15-03-1999,11.5,12.5,1800,12.5,11.5,11.5
16-03-1999,12.375,12.375,400,12.375,12.375,12.375
17-03-1999,12.375,12.375,0,12.375,12.375,12.375
18-03-1999,11.25,11.25,4000,12.0,12.0,12.0
19-03-1999,12.0,12.0,0,12.0,12.0,12.0
22-03-1999,11.25,11.25,300,12.0,12.0,12.0
23-03-1999,11.0,11.0,27800,11.125,11.125,11.125
24-03-1999,10.0,11.0,11500,11.625,10.921875,10.921875
25-03-1999,10.75,10.75,26000,10.875,10.75,10.75
26-03-1999,10.75,11.5,800,11.5,10.75,10.75
29-03-1999,10.75,10.75,0,10.75,10.75,10.75
30-03-1999,10.5,10.75,3700,11.0,10.75,10.75
31-03-1999,10.75,10.75,1000,10.75,10.75,10.75
01-04-1999,10.5,10.5,2500,10.875,10.875,10.875
05-04-1999,10.75,10.75,2000,11.0,11.0,11.0
06-04-1999,10.75,10.75,400,11.0,11.0,11.0
07-04-1999,10.75,10.75,800,10.75,10.75,10.75
08-04-1999,10.5,10.75,8100,10.75,10.5,10.5
09-04-1999,10.5,10.5,13800,10.625,10.625,10.625
12-04-1999,10.25,10.25,200,10.25,10.25,10.25
13-04-1999,10.25,10.875,14400,10.875,10.25,10.25
14-04-1999,10.25,10.375,2600,10.375,10.25,10.25
15-04-1999,10.25,10.25,5300,10.875,10.4375,10.4375
16-04-1999,10.3125,10.4375,2000,10.4375,10.3125,10.3125
19-04-1999,10.375,11.25,4300,11.25,10.375,10.375
20-04-1999,10.25,10.25,800,10.25,10.25,10.25
21-04-1999,10.25,10.25,0,10.25,10.25,10.25
22-04-1999,10.25,11.0625,10600,11.0625,10.5,10.5
23-04-1999,10.5,10.5,0,10.5,10.5,10.5
26-04-1999,11.25,11.25,19400,13.25,12.625,12.625
27-04-1999,13.5,13.5,4700,13.5,13.5,13.5
28-04-1999,12.875,12.875,200,12.875,12.875,12.875
29-04-1999,12.625,12.625,200,12.625,12.625,12.625
30-04-1999,12.625,12.625,8900,15.5,13.875,13.875
03-05-1999,14.0,14.0,10500,14.25,14.0,14.0
04-05-1999,14.0,14.0,0,14.0,14.0,14.0
05-05-1999,13.625,14.125,39200,14.125,13.625,13.625
06-05-1999,13.625,13.625,0,13.625,13.625,13.625
07-05-1999,13.625,13.625,0,13.625,13.625,13.625
10-05-1999,14.125,14.125,1000,14.125,14.125,14.125
11-05-1999,14.125,14.125,1700,14.75,14.75,14.75
12-05-1999,14.25,14.25,3000,14.25,14.25,14.25
13-05-1999,14.375,14.375,400,14.375,14.375,14.375
14-05-1999,14.375,14.375,4800,14.5,14.375,14.375
17-05-1999,14.75,14.75,100,14.75,14.75,14.75
18-05-1999,14.5,15.0,8000,15.125,15.0,15.0
19-05-1999,14.625,14.625,900,14.625,14.625,14.625
20-05-1999,14.5,14.5,3900,15.0,15.0,15.0
21-05-1999,14.5,15.0,600,15.0,14.5,14.5
24-05-1999,14.375,14.5,400,14.5,14.375,14.375
25-05-1999,14.125,14.125,300,14.125,14.125,14.125
26-05-1999,14.125,14.125,400,14.125,14.125,14.125
27-05-1999,13.875,14.125,600,14.125,13.875,13.875
28-05-1999,13.875,13.875,0,13.875,13.875,13.875
01-06-1999,14.5,14.625,6200,14.625,14.5,14.5
02-06-1999,14.25,14.25,1600,14.25,14.25,14.25
03-06-1999,14.25,14.25,0,14.25,14.25,14.25
04-06-1999,14.25,14.375,15600,14.375,14.25,14.25
07-06-1999,14.5,14.5,1000,14.5,14.5,14.5
08-06-1999,14.25,14.25,500,14.5,14.25,14.25
09-06-1999,13.75,13.75,100,13.75,13.75,13.75
10-06-1999,13.75,13.75,0,13.75,13.75,13.75
11-06-1999,13.75,13.75,0,13.75,13.75,13.75
14-06-1999,13.75,13.75,0,13.75,13.75,13.75
15-06-1999,13.75,13.75,0,13.75,13.75,13.75
16-06-1999,13.75,13.75,0,13.75,13.75,13.75
17-06-1999,13.75,13.875,7000,14.0,14.0,14.0
18-06-1999,14.0,14.0,0,14.0,14.0,14.0
21-06-1999,14.0,14.0,0,14.0,14.0,14.0
22-06-1999,14.0,14.0,200,14.0,14.0,14.0
23-06-1999,14.0,14.0,0,14.0,14.0,14.0
24-06-1999,13.75,13.75,300,13.75,13.75,13.75
25-06-1999,13.75,13.75,0,13.75,13.75,13.75
28-06-1999,13.75,13.75,100,13.75,13.75,13.75
29-06-1999,13.25,13.5,6700,13.5,13.25,13.25
30-06-1999,13.25,13.25,0,13.25,13.25,13.25
01-07-1999,13.25,13.25,0,13.25,13.25,13.25
02-07-1999,13.25,13.75,3700,13.75,13.25,13.25
06-07-1999,13.25,13.5,5300,13.75,13.375,13.375
07-07-1999,13.5,13.75,1600,13.75,13.5,13.5
08-07-1999,13.25,13.25,2000,13.25,13.25,13.25
09-07-1999,13.25,13.25,300,13.75,13.75,13.75
12-07-1999,13.75,13.75,0,13.75,13.75,13.75
13-07-1999,12.75,12.75,900,12.75,12.75,12.75
14-07-1999,12.75,12.75,0,12.75,12.75,12.75
15-07-1999,12.75,12.75,0,12.75,12.75,12.75
16-07-1999,12.75,12.75,10200,12.875,12.875,12.875
19-07-1999,12.875,13.0,12100,13.5,13.1875,13.1875
20-07-1999,13.25,13.25,400,13.25,13.25,13.25
21-07-1999,13.25,13.25,1600,13.25,13.25,13.25
22-07-1999,13.0,13.0,200,13.0,13.0,13.0
23-07-1999,13.25,13.25,300,13.25,13.25,13.25
26-07-1999,13.25,13.25,0,13.25,13.25,13.25
27-07-1999,13.0,13.0,700,13.0,13.0,13.0
28-07-1999,12.75,12.75,6300,13.0,13.0,13.0
29-07-1999,13.0,13.0,0,13.0,13.0,13.0
30-07-1999,13.0,13.0,0,13.0,13.0,13.0
02-08-1999,13.0,13.0,200,13.0,13.0,13.0
03-08-1999,13.0,13.0,0,13.0,13.0,13.0
04-08-1999,13.0,13.0,0,13.0,13.0,13.0
05-08-1999,13.125,13.125,600,13.125,13.125,13.125
06-08-1999,13.25,13.25,200,13.25,13.25,13.25
09-08-1999,13.25,13.25,0,13.25,13.25,13.25
10-08-1999,13.25,13.25,0,13.25,13.25,13.25
11-08-1999,13.25,13.25,0,13.25,13.25,13.25
12-08-1999,12.75,12.75,5500,13.0,13.0,13.0
13-08-1999,12.75,12.75,100,12.75,12.75,12.75
16-08-1999,12.75,12.75,800,12.75,12.75,12.75
17-08-1999,12.75,12.875,3300,13.0,12.75,12.75
18-08-1999,12.75,12.75,0,12.75,12.75,12.75
19-08-1999,12.875,12.875,3000,12.875,12.875,12.875
