Date,Low,Open,Volume,High,Close,Adjusted Close
29-01-2007,26.5,26.5,3100,26.5,26.5,26.5
30-01-2007,26.5,26.5,200,26.5,26.5,26.5
31-01-2007,26.649999618530273,26.649999618530273,200,26.649999618530273,26.649999618530273,26.649999618530273
01-02-2007,27.450000762939453,27.5,4000,27.5,27.5,27.5
02-02-2007,27.399999618530273,27.549999237060547,6800,27.75,27.549999237060547,27.549999237060547
05-02-2007,27.649999618530273,28.0,700,28.0,28.0,28.0
06-02-2007,27.600000381469727,28.0,3200,28.0,28.0,28.0
07-02-2007,27.399999618530273,27.450000762939453,1100,27.450000762939453,27.450000762939453,27.450000762939453
08-02-2007,27.34000015258789,27.34000015258789,100,27.34000015258789,27.34000015258789,27.34000015258789
09-02-2007,27.899999618530273,27.899999618530273,400,27.899999618530273,27.899999618530273,27.899999618530273
12-02-2007,27.200000762939453,27.200000762939453,200,27.200000762939453,27.200000762939453,27.200000762939453
13-02-2007,27.25,27.25,200,27.350000381469727,27.25,27.25
14-02-2007,27.600000381469727,27.600000381469727,700,27.799999237060547,27.600000381469727,27.600000381469727
15-02-2007,27.149999618530273,27.25,300,27.25,27.25,27.25
16-02-2007,27.5,27.5,400,27.5,27.5,27.5
20-02-2007,27.149999618530273,27.149999618530273,1600,27.5,27.149999618530273,27.149999618530273
21-02-2007,27.649999618530273,27.75,1100,27.75,27.75,27.75
22-02-2007,27.75,27.75,300,28.0,27.75,27.75
23-02-2007,28.549999237060547,28.75,1600,28.75,28.75,28.75
26-02-2007,28.75,29.25,1800,29.25,29.25,29.25
27-02-2007,26.950000762939453,26.950000762939453,39000,27.549999237060547,26.950000762939453,26.950000762939453
28-02-2007,25.0,26.399999618530273,33500,27.0,26.399999618530273,26.399999618530273
01-03-2007,26.75,27.75,13800,27.75,27.75,27.75
02-03-2007,27.450000762939453,28.0,22600,28.0,28.0,28.0
05-03-2007,26.5,27.5,15700,27.5,27.5,27.5
06-03-2007,26.450000762939453,27.0,21500,27.100000381469727,27.0,27.0
07-03-2007,27.25,27.25,11100,28.200000762939453,27.25,27.25
08-03-2007,27.270000457763672,27.75,9400,28.0,27.75,27.75
09-03-2007,28.299999237060547,29.149999618530273,8300,39.099998474121094,29.149999618530273,29.149999618530273
12-03-2007,33.0,33.5,26700,33.75,33.5,33.5
13-03-2007,33.5,34.25,31100,35.0,34.25,34.25
14-03-2007,36.25,37.75,24200,38.0,37.75,37.75
15-03-2007,37.0,37.75,25200,38.0,37.75,37.75
16-03-2007,38.20000076293945,39.5,11700,40.0,39.5,39.5
19-03-2007,40.5,41.25,28900,41.75,41.25,41.25
20-03-2007,44.900001525878906,45.75,22000,48.25,45.75,45.75
21-03-2007,50.0,55.0,37800,57.0,55.0,55.0
22-03-2007,48.0,50.0,24500,53.0,50.0,50.0
23-03-2007,47.5,50.0,12200,50.0,49.349998474121094,49.349998474121094
26-03-2007,47.0,49.0,11300,49.0,49.0,49.0
27-03-2007,47.5,49.25,6500,49.5,49.25,49.25
28-03-2007,48.5,49.95000076293945,3200,50.5,49.95000076293945,49.95000076293945
29-03-2007,46.54999923706055,48.20000076293945,5400,48.5,48.20000076293945,48.20000076293945
30-03-2007,40.5,42.29999923706055,18200,44.5,42.29999923706055,42.29999923706055
02-04-2007,40.0,40.0,27500,43.5,40.0,40.0
03-04-2007,37.0,37.599998474121094,29400,40.0,37.599998474121094,37.599998474121094
04-04-2007,41.0,42.0,18200,44.5,42.0,42.0
05-04-2007,41.45000076293945,42.0,4800,43.0,42.0,42.0
09-04-2007,41.25,42.70000076293945,5800,43.0,42.70000076293945,42.70000076293945
10-04-2007,46.0,46.0,5300,46.25,46.0,46.0
11-04-2007,42.75,46.0,12600,46.0,46.0,46.0
12-04-2007,43.29999923706055,44.400001525878906,12200,45.0,44.400001525878906,44.400001525878906
13-04-2007,43.0,44.25,3800,44.5,44.25,44.25
16-04-2007,42.25,43.70000076293945,10800,45.0,43.70000076293945,43.70000076293945
17-04-2007,44.0,44.5,2200,44.5,44.5,44.5
18-04-2007,44.45000076293945,45.0,2900,45.099998474121094,45.0,45.0
19-04-2007,42.20000076293945,43.150001525878906,3900,44.5,43.150001525878906,43.150001525878906
20-04-2007,42.5,44.20000076293945,2600,44.20000076293945,44.20000076293945,44.20000076293945
23-04-2007,43.349998474121094,44.400001525878906,2500,45.0,44.400001525878906,44.400001525878906
24-04-2007,43.25,44.400001525878906,5700,45.0,44.400001525878906,44.400001525878906
25-04-2007,43.650001525878906,44.75,1800,45.0,44.75,44.75
26-04-2007,47.0,47.099998474121094,5200,48.25,47.099998474121094,47.099998474121094
27-04-2007,45.5,48.099998474121094,4800,48.20000076293945,48.099998474121094,48.099998474121094
30-04-2007,47.900001525878906,49.5,10500,49.5,49.5,49.5
01-05-2007,47.0,48.45000076293945,8000,48.5,48.45000076293945,48.45000076293945
02-05-2007,46.29999923706055,47.95000076293945,3200,48.5,47.95000076293945,47.95000076293945
03-05-2007,46.79999923706055,47.900001525878906,1800,48.0,47.900001525878906,47.900001525878906
04-05-2007,45.5,45.54999923706055,3600,47.0,45.54999923706055,45.54999923706055
07-05-2007,45.849998474121094,47.0,8300,48.0,47.0,47.0
08-05-2007,45.25,45.90999984741211,4600,47.0,45.90999984741211,45.90999984741211
09-05-2007,44.0,45.5,3100,46.0,45.5,45.5
