Date,Low,Open,Volume,High,Close,Adjusted Close
09-01-2008,1061.0,1061.0,50.0,1061.0,1061.0,1044.6942138671875
10-01-2008,,,,,,
11-01-2008,,,,,,
14-01-2008,,,,,,
15-01-2008,,,,,,
16-01-2008,,,,,,
17-01-2008,,,,,,
18-01-2008,835.5,835.5,100.0,835.5,835.5,822.6594848632812
21-01-2008,,,,,,
22-01-2008,,,,,,
23-01-2008,806.0,806.0,60.0,806.0,806.0,793.61279296875
24-01-2008,,,,,,
25-01-2008,,,,,,
28-01-2008,,,,,,
29-01-2008,,,,,,
30-01-2008,819.5,819.5,40.0,819.5,819.5,806.9057006835938
31-01-2008,,,,,,
01-02-2008,,,,,,
05-02-2008,,,,,,
06-02-2008,819.5,819.5,50.0,819.5,819.5,806.9057006835938
07-02-2008,,,,,,
08-02-2008,,,,,,
11-02-2008,,,,,,
12-02-2008,,,,,,
13-02-2008,,,,,,
14-02-2008,,,,,,
15-02-2008,,,,,,
18-02-2008,,,,,,
19-02-2008,,,,,,
20-02-2008,,,,,,
21-02-2008,,,,,,
22-02-2008,,,,,,
25-02-2008,,,,,,
26-02-2008,954.7899780273438,954.7899780273438,10000.0,954.7899780273438,954.7899780273438,940.1162719726562
27-02-2008,,,,,,
28-02-2008,,,,,,
29-02-2008,,,,,,
03-03-2008,,,,,,
04-03-2008,,,,,,
05-03-2008,,,,,,
06-03-2008,,,,,,
07-03-2008,,,,,,
10-03-2008,,,,,,
11-03-2008,,,,,,
12-03-2008,,,,,,
13-03-2008,,,,,,
14-03-2008,,,,,,
18-03-2008,,,,,,
19-03-2008,,,,,,
24-03-2008,,,,,,
25-03-2008,,,,,,
26-03-2008,,,,,,
27-03-2008,,,,,,
28-03-2008,,,,,,
31-03-2008,,,,,,
01-04-2008,,,,,,
02-04-2008,,,,,,
03-04-2008,,,,,,
04-04-2008,,,,,,
07-04-2008,,,,,,
08-04-2008,,,,,,
09-04-2008,,,,,,
10-04-2008,,,,,,
11-04-2008,,,,,,
14-04-2008,954.7899780273438,954.7899780273438,35.0,954.7899780273438,954.7899780273438,940.1162719726562
15-04-2008,,,,,,
16-04-2008,,,,,,
17-04-2008,,,,,,
18-04-2008,1053.5,1053.5,535.0,1053.5,1053.5,1037.3094482421875
21-04-2008,,,,,,
22-04-2008,,,,,,
23-04-2008,,,,,,
24-04-2008,,,,,,
25-04-2008,,,,,,
28-04-2008,,,,,,
29-04-2008,,,,,,
30-04-2008,,,,,,
01-05-2008,,,,,,
02-05-2008,,,,,,
05-05-2008,,,,,,
06-05-2008,,,,,,
07-05-2008,,,,,,
08-05-2008,,,,,,
09-05-2008,,,,,,
12-05-2008,,,,,,
13-05-2008,1083.300048828125,1083.300048828125,120.0,1096.199951171875,1096.199951171875,1079.3529052734375
14-05-2008,,,,,,
15-05-2008,,,,,,
16-05-2008,,,,,,
19-05-2008,,,,,,
20-05-2008,,,,,,
21-05-2008,,,,,,
22-05-2008,,,,,,
23-05-2008,,,,,,
26-05-2008,,,,,,
27-05-2008,,,,,,
28-05-2008,,,,,,
29-05-2008,,,,,,
30-05-2008,1052.0,1052.0,2900.0,1052.0,1052.0,1035.8323974609375
02-06-2008,,,,,,
