Date,Low,Open,Volume,High,Close,Adjusted Close
28-01-1988,0.5400000214576721,0.5400000214576721,0.0,0.5400000214576721,0.5400000214576721,0.19792990386486053
31-01-1988,,,,,,
01-02-1988,,,,,,
02-02-1988,,,,,,
03-02-1988,,,,,,
04-02-1988,,,,,,
07-02-1988,,,,,,
08-02-1988,,,,,,
09-02-1988,,,,,,
10-02-1988,,,,,,
11-02-1988,,,,,,
14-02-1988,,,,,,
15-02-1988,,,,,,
16-02-1988,,,,,,
17-02-1988,,,,,,
18-02-1988,,,,,,
21-02-1988,,,,,,
22-02-1988,,,,,,
23-02-1988,,,,,,
24-02-1988,,,,,,
25-02-1988,,,,,,
28-02-1988,0.44999998807907104,0.44999998807907104,0.0,0.44999998807907104,0.44999998807907104,0.16494162380695343
29-02-1988,,,,,,
01-03-1988,,,,,,
02-03-1988,,,,,,
03-03-1988,,,,,,
06-03-1988,,,,,,
07-03-1988,,,,,,
08-03-1988,,,,,,
09-03-1988,,,,,,
10-03-1988,,,,,,
13-03-1988,,,,,,
14-03-1988,,,,,,
15-03-1988,,,,,,
16-03-1988,,,,,,
17-03-1988,,,,,,
21-03-1988,,,,,,
22-03-1988,,,,,,
23-03-1988,,,,,,
24-03-1988,,,,,,
25-03-1988,,,,,,
28-03-1988,,,,,,
29-03-1988,,,,,,
30-03-1988,,,,,,
31-03-1988,0.44999998807907104,0.44999998807907104,0.0,0.44999998807907104,0.44999998807907104,0.16494162380695343
01-04-1988,,,,,,
04-04-1988,,,,,,
05-04-1988,,,,,,
06-04-1988,,,,,,
07-04-1988,,,,,,
08-04-1988,,,,,,
11-04-1988,,,,,,
12-04-1988,,,,,,
13-04-1988,,,,,,
14-04-1988,,,,,,
15-04-1988,,,,,,
18-04-1988,,,,,,
19-04-1988,,,,,,
20-04-1988,,,,,,
21-04-1988,,,,,,
22-04-1988,,,,,,
25-04-1988,,,,,,
26-04-1988,,,,,,
27-04-1988,,,,,,
28-04-1988,,,,,,
29-04-1988,0.5,0.5,0.0,0.5,0.5,0.18326842784881592
02-05-1988,,,,,,
03-05-1988,,,,,,
04-05-1988,,,,,,
05-05-1988,,,,,,
06-05-1988,,,,,,
09-05-1988,,,,,,
10-05-1988,,,,,,
11-05-1988,,,,,,
12-05-1988,,,,,,
13-05-1988,,,,,,
16-05-1988,,,,,,
17-05-1988,,,,,,
18-05-1988,,,,,,
19-05-1988,,,,,,
20-05-1988,,,,,,
23-05-1988,,,,,,
24-05-1988,,,,,,
25-05-1988,,,,,,
26-05-1988,,,,,,
27-05-1988,,,,,,
30-05-1988,,,,,,
31-05-1988,0.5600000023841858,0.5600000023841858,0.0,0.5600000023841858,0.5600000023841858,0.20526066422462463
01-06-1988,,,,,,
02-06-1988,,,,,,
03-06-1988,,,,,,
06-06-1988,,,,,,
07-06-1988,,,,,,
08-06-1988,,,,,,
09-06-1988,,,,,,
10-06-1988,,,,,,
13-06-1988,,,,,,
14-06-1988,,,,,,
15-06-1988,,,,,,
16-06-1988,,,,,,
17-06-1988,,,,,,
20-06-1988,,,,,,
21-06-1988,,,,,,
22-06-1988,,,,,,
23-06-1988,,,,,,
24-06-1988,,,,,,
27-06-1988,,,,,,
28-06-1988,,,,,,
29-06-1988,,,,,,
30-06-1988,0.5199999809265137,0.5199999809265137,0.0,0.5199999809265137,0.5199999809265137,0.19059917330741882
01-07-1988,,,,,,
04-07-1988,,,,,,
05-07-1988,,,,,,
06-07-1988,,,,,,
07-07-1988,,,,,,
08-07-1988,,,,,,
11-07-1988,,,,,,
12-07-1988,,,,,,
13-07-1988,,,,,,
14-07-1988,,,,,,
15-07-1988,,,,,,
18-07-1988,,,,,,
19-07-1988,,,,,,
20-07-1988,,,,,,
21-07-1988,,,,,,
22-07-1988,,,,,,
25-07-1988,,,,,,
26-07-1988,,,,,,
27-07-1988,,,,,,
28-07-1988,,,,,,
29-07-1988,0.5600000023841858,0.5600000023841858,0.0,0.5600000023841858,0.5600000023841858,0.20526066422462463
01-08-1988,,,,,,
02-08-1988,,,,,,
03-08-1988,,,,,,
04-08-1988,,,,,,
05-08-1988,,,,,,
08-08-1988,,,,,,
09-08-1988,,,,,,
10-08-1988,,,,,,
11-08-1988,,,,,,
12-08-1988,,,,,,
15-08-1988,,,,,,
16-08-1988,,,,,,
17-08-1988,,,,,,
18-08-1988,,,,,,
19-08-1988,,,,,,
22-08-1988,,,,,,
23-08-1988,,,,,,
24-08-1988,,,,,,
25-08-1988,,,,,,
26-08-1988,,,,,,
29-08-1988,,,,,,
30-08-1988,,,,,,
31-08-1988,0.550000011920929,0.550000011920929,0.0,0.550000011920929,0.550000011920929,0.20159529149532318
01-09-1988,,,,,,
02-09-1988,,,,,,
05-09-1988,,,,,,
06-09-1988,,,,,,
07-09-1988,,,,,,
08-09-1988,,,,,,
09-09-1988,,,,,,
12-09-1988,,,,,,
13-09-1988,,,,,,
14-09-1988,,,,,,
15-09-1988,,,,,,
16-09-1988,,,,,,
19-09-1988,,,,,,
20-09-1988,,,,,,
21-09-1988,,,,,,
22-09-1988,,,,,,
23-09-1988,,,,,,
26-09-1988,,,,,,
27-09-1988,,,,,,
28-09-1988,,,,,,
29-09-1988,,,,,,
30-09-1988,0.5,0.5,0.0,0.5,0.5,0.18326842784881592
03-10-1988,,,,,,
04-10-1988,,,,,,
05-10-1988,,,,,,
06-10-1988,,,,,,
07-10-1988,,,,,,
10-10-1988,,,,,,
11-10-1988,,,,,,
12-10-1988,,,,,,
13-10-1988,,,,,,
14-10-1988,,,,,,
17-10-1988,,,,,,
18-10-1988,,,,,,
19-10-1988,,,,,,
20-10-1988,,,,,,
21-10-1988,,,,,,
24-10-1988,,,,,,
25-10-1988,,,,,,
26-10-1988,,,,,,
27-10-1988,,,,,,
28-10-1988,,,,,,
30-10-1988,0.49000000953674316,0.49000000953674316,0.0,0.49000000953674316,0.49000000953674316,0.17960307002067566
31-10-1988,,,,,,
01-11-1988,,,,,,
02-11-1988,,,,,,
03-11-1988,,,,,,
06-11-1988,,,,,,
07-11-1988,,,,,,
08-11-1988,,,,,,
09-11-1988,,,,,,
10-11-1988,,,,,,
13-11-1988,,,,,,
14-11-1988,,,,,,
15-11-1988,,,,,,
16-11-1988,,,,,,
17-11-1988,,,,,,
20-11-1988,,,,,,
21-11-1988,,,,,,
22-11-1988,,,,,,
23-11-1988,,,,,,
24-11-1988,,,,,,
27-11-1988,,,,,,
28-11-1988,,,,,,
29-11-1988,0.4699999988079071,0.4699999988079071,0.0,0.4699999988079071,0.4699999988079071,0.17227232456207275
30-11-1988,,,,,,
01-12-1988,,,,,,
04-12-1988,,,,,,
05-12-1988,,,,,,
06-12-1988,,,,,,
07-12-1988,,,,,,
08-12-1988,,,,,,
11-12-1988,,,,,,
12-12-1988,,,,,,
13-12-1988,,,,,,
14-12-1988,,,,,,
15-12-1988,,,,,,
18-12-1988,,,,,,
19-12-1988,,,,,,
20-12-1988,,,,,,
21-12-1988,,,,,,
