Date,Low,Open,Volume,High,Close,Adjusted Close
01-01-2002,6.0,7.75,1900.0,7.800000190734863,6.0,3.8719658851623535
02-01-2002,6.0,6.099999904632568,300.0,6.099999904632568,6.0,3.8719658851623535
03-01-2002,6.0,6.0,200.0,6.0,6.0,3.8719658851623535
04-01-2002,,,,,,
07-01-2002,,,,,,
08-01-2002,,,,,,
09-01-2002,,,,,,
10-01-2002,,,,,,
11-01-2002,,,,,,
14-01-2002,,,,,,
15-01-2002,,,,,,
16-01-2002,,,,,,
17-01-2002,,,,,,
18-01-2002,,,,,,
21-01-2002,,,,,,
22-01-2002,,,,,,
23-01-2002,,,,,,
24-01-2002,,,,,,
25-01-2002,,,,,,
28-01-2002,7.099999904632568,7.099999904632568,200.0,7.099999904632568,7.099999904632568,4.581826686859131
29-01-2002,,,,,,
30-01-2002,,,,,,
31-01-2002,6.0,6.0,2900.0,7.099999904632568,6.099999904632568,3.9364991188049316
01-02-2002,5.25,5.25,100.0,5.25,5.25,3.387970209121704
04-02-2002,,,,,,
05-02-2002,6.300000190734863,6.300000190734863,100.0,6.300000190734863,6.300000190734863,4.065564155578613
06-02-2002,,,,,,
07-02-2002,6.25,6.25,2800.0,6.25,6.25,4.033298015594482
08-02-2002,6.25,6.25,100.0,6.25,6.25,4.033298015594482
11-02-2002,5.050000190734863,5.050000190734863,1200.0,6.900000095367432,6.900000095367432,4.452761173248291
12-02-2002,,,,,,
13-02-2002,,,,,,
14-02-2002,,,,,,
15-02-2002,,,,,,
18-02-2002,,,,,,
19-02-2002,6.0,6.5,2000.0,6.5,6.0,3.8719658851623535
20-02-2002,,,,,,
21-02-2002,,,,,,
22-02-2002,,,,,,
25-02-2002,6.0,6.199999809265137,1000.0,6.5,6.0,3.8719658851623535
26-02-2002,7.0,7.0,1000.0,7.0,7.0,4.517293930053711
27-02-2002,,,,,,
28-02-2002,,,,,,
01-03-2002,6.849999904632568,6.849999904632568,50.0,6.849999904632568,6.849999904632568,4.42049503326416
04-03-2002,,,,,,
05-03-2002,,,,,,
06-03-2002,,,,,,
07-03-2002,6.800000190734863,6.800000190734863,1600.0,7.25,7.150000095367432,4.6140923500061035
08-03-2002,6.0,6.050000190734863,300.0,6.050000190734863,6.0,3.8719658851623535
11-03-2002,6.5,6.5,25.0,6.5,6.5,4.194629669189453
12-03-2002,7.599999904632568,7.599999904632568,10.0,7.599999904632568,7.599999904632568,4.904489994049072
13-03-2002,6.75,8.449999809265137,100.0,8.449999809265137,6.75,4.355961799621582
14-03-2002,6.25,7.5,1200.0,7.5,7.25,4.678625106811523
15-03-2002,6.150000095367432,6.900000095367432,400.0,6.900000095367432,6.150000095367432,3.9687652587890625
18-03-2002,,,,,,
19-03-2002,6.25,6.25,300.0,6.5,6.5,4.194629669189453
20-03-2002,6.599999904632568,6.599999904632568,4100.0,7.25,7.25,4.678625106811523
21-03-2002,7.050000190734863,7.050000190734863,1100.0,7.099999904632568,7.050000190734863,4.549560070037842
22-03-2002,6.099999904632568,6.099999904632568,600.0,6.949999809265137,6.949999809265137,4.485027313232422
25-03-2002,,,,,,
26-03-2002,,,,,,
27-03-2002,6.199999809265137,7.25,200.0,7.25,7.0,4.517293930053711
28-03-2002,,,,,,
29-03-2002,,,,,,
01-04-2002,,,,,,
02-04-2002,7.0,7.0,300.0,7.25,7.25,4.678625106811523
03-04-2002,,,,,,
04-04-2002,7.699999809265137,7.699999809265137,25.0,7.699999809265137,7.699999809265137,4.969022750854492
05-04-2002,6.199999809265137,7.199999809265137,1700.0,7.25,6.199999809265137,4.001031398773193
08-04-2002,,,,,,
09-04-2002,7.25,7.25,200.0,7.25,7.25,4.678625106811523
10-04-2002,7.5,7.5,100.0,7.5,7.5,4.839956760406494
11-04-2002,7.150000095367432,7.150000095367432,300.0,7.900000095367432,7.75,5.001289367675781
12-04-2002,7.0,7.0,400.0,7.25,7.0,4.517293930053711
15-04-2002,,,,,,
16-04-2002,7.0,7.0,100.0,7.0,7.0,4.517293930053711
17-04-2002,,,,,,
18-04-2002,6.199999809265137,6.199999809265137,300.0,7.900000095367432,7.900000095367432,5.09808874130249
19-04-2002,6.550000190734863,6.550000190734863,500.0,6.550000190734863,6.550000190734863,4.226896286010742
22-04-2002,6.300000190734863,6.300000190734863,100.0,6.300000190734863,6.300000190734863,4.065564155578613
23-04-2002,,,,,,
24-04-2002,7.349999904632568,7.349999904632568,300.0,7.349999904632568,7.349999904632568,4.743158340454102
25-04-2002,6.300000190734863,6.300000190734863,300.0,6.75,6.75,4.355961799621582
26-04-2002,,,,,,
29-04-2002,6.699999809265137,6.75,2200.0,6.75,6.699999809265137,4.323695182800293
30-04-2002,,,,,,
01-05-2002,,,,,,
02-05-2002,6.599999904632568,6.599999904632568,400.0,6.599999904632568,6.599999904632568,4.259162425994873
03-05-2002,6.599999904632568,6.599999904632568,1000.0,6.599999904632568,6.599999904632568,4.259162425994873
06-05-2002,6.599999904632568,6.699999809265137,5300.0,7.199999809265137,7.150000095367432,4.6140923500061035
07-05-2002,,,,,,
08-05-2002,6.300000190734863,6.300000190734863,500.0,6.300000190734863,6.300000190734863,4.065564155578613
09-05-2002,,,,,,
10-05-2002,6.849999904632568,6.849999904632568,400.0,7.25,7.25,4.678625106811523
13-05-2002,6.949999809265137,7.0,2700.0,7.0,7.0,4.517293930053711
14-05-2002,6.849999904632568,6.900000095367432,700.0,7.0,6.849999904632568,4.42049503326416
15-05-2002,6.599999904632568,6.900000095367432,900.0,6.900000095367432,6.599999904632568,4.259162425994873
16-05-2002,7.0,7.900000095367432,300.0,7.900000095367432,7.0,4.517293930053711
17-05-2002,6.650000095367432,6.650000095367432,700.0,7.0,7.0,4.517293930053711
20-05-2002,,,,,,
21-05-2002,6.599999904632568,6.599999904632568,1000.0,6.599999904632568,6.599999904632568,4.259162425994873
22-05-2002,6.599999904632568,6.599999904632568,1000.0,6.599999904632568,6.599999904632568,4.259162425994873
23-05-2002,7.349999904632568,7.349999904632568,100.0,7.349999904632568,7.349999904632568,4.743158340454102
24-05-2002,,,,,,
27-05-2002,,,,,,
28-05-2002,6.949999809265137,6.949999809265137,300.0,7.0,7.0,4.517293930053711
29-05-2002,7.300000190734863,7.300000190734863,200.0,7.300000190734863,7.300000190734863,4.7108917236328125
30-05-2002,,,,,,
31-05-2002,,,,,,
03-06-2002,,,,,,
04-06-2002,,,,,,
05-06-2002,7.0,7.349999904632568,1100.0,7.349999904632568,7.25,4.678625106811523
06-06-2002,7.849999904632568,7.849999904632568,500.0,7.849999904632568,7.849999904632568,5.065822601318359
07-06-2002,6.800000190734863,7.699999809265137,2.0,7.699999809265137,6.800000190734863,4.388227939605713
10-06-2002,,,,,,
11-06-2002,7.800000190734863,7.800000190734863,1000.0,7.849999904632568,7.849999904632568,5.065822601318359
12-06-2002,6.75,6.75,1400.0,7.900000095367432,7.599999904632568,4.904489994049072
13-06-2002,7.0,7.0,100.0,7.0,7.0,4.517293930053711
14-06-2002,7.400000095367432,7.400000095367432,700.0,7.5,7.5,4.839956760406494
17-06-2002,7.550000190734863,7.550000190734863,200.0,7.550000190734863,7.550000190734863,4.872223854064941
18-06-2002,7.599999904632568,8.0,1600.0,8.199999809265137,7.599999904632568,4.904489994049072
19-06-2002,8.0,8.0,500.0,8.0,8.0,5.16262149810791
20-06-2002,7.900000095367432,8.399999618530273,4800.0,9.0,8.300000190734863,5.35621976852417
21-06-2002,8.300000190734863,9.350000381469727,2700.0,9.399999618530273,8.649999618530273,5.5820841789245605
24-06-2002,7.0,8.399999618530273,3400.0,8.399999618530273,7.949999809265137,5.130355358123779
25-06-2002,6.5,7.449999809265137,2000.0,7.5,6.949999809265137,4.485027313232422
26-06-2002,6.550000190734863,6.949999809265137,1000.0,7.0,6.550000190734863,4.226896286010742
27-06-2002,,,,,,
28-06-2002,,,,,,
01-07-2002,5.5,5.5,300.0,5.5,5.5,3.549302339553833
02-07-2002,6.449999809265137,6.449999809265137,200.0,6.449999809265137,6.449999809265137,4.162363529205322
03-07-2002,6.099999904632568,6.099999904632568,500.0,6.099999904632568,6.099999904632568,3.9364991188049316
04-07-2002,5.5,5.650000095367432,2000.0,5.650000095367432,5.5,3.549302339553833
05-07-2002,6.0,6.099999904632568,4500.0,6.599999904632568,6.0,3.8719658851623535
08-07-2002,6.150000095367432,6.900000095367432,1500.0,6.900000095367432,6.900000095367432,4.452761173248291
09-07-2002,6.900000095367432,7.449999809265137,1150.0,7.449999809265137,7.300000190734863,4.7108917236328125
10-07-2002,,,,,,
11-07-2002,6.150000095367432,6.150000095367432,400.0,6.150000095367432,6.150000095367432,3.9687652587890625
12-07-2002,6.5,6.5,800.0,7.0,7.0,4.517293930053711
15-07-2002,6.300000190734863,6.300000190734863,100.0,6.300000190734863,6.300000190734863,4.065564155578613
16-07-2002,,,,,,
17-07-2002,,,,,,
18-07-2002,6.0,6.199999809265137,2100.0,6.5,6.5,4.194629669189453
19-07-2002,,,,,,
22-07-2002,5.900000095367432,5.900000095367432,2000.0,5.900000095367432,5.900000095367432,3.80743408203125
23-07-2002,,,,,,
24-07-2002,,,,,,
25-07-2002,,,,,,
26-07-2002,6.0,6.099999904632568,2901.0,6.099999904632568,6.0,3.8719658851623535
29-07-2002,5.650000095367432,5.650000095367432,3000.0,6.0,6.0,3.8719658851623535
30-07-2002,,,,,,
31-07-2002,,,,,,
01-08-2002,,,,,,
02-08-2002,5.5,5.5,100.0,5.5,5.5,3.549302339553833
05-08-2002,,,,,,
06-08-2002,,,,,,
07-08-2002,5.5,5.5,400.0,5.5,5.5,3.549302339553833
08-08-2002,,,,,,
09-08-2002,,,,,,
12-08-2002,4.949999809265137,6.599999904632568,600.0,6.599999904632568,5.0,3.2266383171081543
13-08-2002,5.0,5.0,500.0,5.0,5.0,3.2266383171081543
14-08-2002,,,,,,
15-08-2002,,,,,,
16-08-2002,5.150000095367432,5.150000095367432,220.0,5.150000095367432,5.150000095367432,3.3234379291534424
19-08-2002,5.0,5.0,100.0,5.0,5.0,3.2266383171081543
20-08-2002,,,,,,
21-08-2002,4.699999809265137,4.699999809265137,100.0,4.699999809265137,4.699999809265137,3.0330398082733154
22-08-2002,4.949999809265137,4.949999809265137,100.0,4.949999809265137,4.949999809265137,3.1943717002868652
23-08-2002,4.900000095367432,4.949999809265137,300.0,4.949999809265137,4.900000095367432,3.1621055603027344
26-08-2002,,,,,,
27-08-2002,4.050000190734863,4.099999904632568,650.0,4.150000095367432,4.050000190734863,2.613577127456665
28-08-2002,,,,,,
29-08-2002,,,,,,
30-08-2002,,,,,,
02-09-2002,4.300000190734863,4.300000190734863,580.0,4.300000190734863,4.300000190734863,2.774909019470215
03-09-2002,3.450000047683716,3.5,600.0,3.5,3.450000047683716,2.2263805866241455
04-09-2002,4.099999904632568,4.099999904632568,100.0,4.099999904632568,4.099999904632568,2.645843267440796
05-09-2002,4.849999904632568,4.849999904632568,800.0,4.900000095367432,4.900000095367432,3.1621055603027344
06-09-2002,,,,,,
09-09-2002,,,,,,
10-09-2002,,,,,,
11-09-2002,,,,,,
12-09-2002,4.900000095367432,4.900000095367432,1300.0,4.900000095367432,4.900000095367432,3.1621055603027344
13-09-2002,5.0,5.0,200.0,5.0,5.0,3.2266383171081543
16-09-2002,4.099999904632568,4.099999904632568,100.0,4.099999904632568,4.099999904632568,2.645843267440796
17-09-2002,,,,,,
18-09-2002,,,,,,
19-09-2002,,,,,,
20-09-2002,,,,,,
23-09-2002,,,,,,
24-09-2002,,,,,,
25-09-2002,,,,,,
26-09-2002,,,,,,
27-09-2002,4.699999809265137,4.699999809265137,100.0,4.699999809265137,4.699999809265137,3.0330398082733154
30-09-2002,,,,,,
01-10-2002,,,,,,
02-10-2002,,,,,,
03-10-2002,,,,,,
04-10-2002,,,,,,
07-10-2002,,,,,,
08-10-2002,3.9000000953674316,4.0,300.0,4.0,3.9000000953674316,2.516777992248535
09-10-2002,,,,,,
10-10-2002,,,,,,
11-10-2002,4.650000095367432,4.650000095367432,350.0,4.650000095367432,4.650000095367432,3.0007739067077637
14-10-2002,3.799999952316284,5.550000190734863,100.0,5.550000190734863,3.799999952316284,2.452244997024536
15-10-2002,,,,,,
16-10-2002,3.950000047683716,3.950000047683716,100.0,3.950000047683716,3.950000047683716,2.549044370651245
17-10-2002,4.699999809265137,4.699999809265137,100.0,4.699999809265137,4.699999809265137,3.0330398082733154
18-10-2002,4.5,4.5,200.0,4.5,4.5,2.903974771499634
21-10-2002,,,,,,
22-10-2002,,,,,,
23-10-2002,,,,,,
24-10-2002,,,,,,
25-10-2002,,,,,,
28-10-2002,3.6500000953674316,3.6500000953674316,1000.0,3.6500000953674316,3.6500000953674316,2.3554458618164062
29-10-2002,4.349999904632568,4.349999904632568,100.0,4.349999904632568,4.349999904632568,2.807175397872925
30-10-2002,4.5,4.5,100.0,4.5,4.5,2.903974771499634
31-10-2002,4.25,4.25,100.0,4.25,4.25,2.742642641067505
01-11-2002,,,,,,
04-11-2002,5.0,5.0,100.0,5.0,5.0,3.2266383171081543
05-11-2002,,,,,,
06-11-2002,,,,,,
07-11-2002,,,,,,
08-11-2002,,,,,,
11-11-2002,4.150000095367432,4.150000095367432,700.0,4.150000095367432,4.150000095367432,2.678109884262085
12-11-2002,,,,,,
13-11-2002,3.549999952316284,3.549999952316284,200.0,3.549999952316284,3.549999952316284,2.2909133434295654
14-11-2002,,,,,,
15-11-2002,,,,,,
18-11-2002,,,,,,
19-11-2002,,,,,,
20-11-2002,,,,,,
21-11-2002,,,,,,
22-11-2002,,,,,,
25-11-2002,3.549999952316284,3.5999999046325684,900.0,3.5999999046325684,3.549999952316284,2.2909133434295654
26-11-2002,4.25,4.25,200.0,4.25,4.25,2.742642641067505
27-11-2002,5.0,5.0,100.0,5.0,5.0,3.2266383171081543
28-11-2002,5.25,6.0,100.0,6.0,5.25,3.387970209121704
29-11-2002,5.199999809265137,5.199999809265137,2110.0,6.0,6.0,3.8719658851623535
02-12-2002,4.900000095367432,4.949999809265137,6100.0,5.0,4.949999809265137,3.1943717002868652
03-12-2002,4.150000095367432,4.150000095367432,100.0,4.150000095367432,4.150000095367432,2.678109884262085
04-12-2002,,,,,,
05-12-2002,,,,,,
06-12-2002,,,,,,
09-12-2002,,,,,,
10-12-2002,3.5,3.5,200.0,3.5,3.5,2.2586469650268555
11-12-2002,3.5,3.5,200.0,3.5,3.5,2.2586469650268555
12-12-2002,3.5,3.5,3200.0,4.199999809265137,4.199999809265137,2.710376262664795
