Date,Low,Open,Volume,High,Close,Adjusted Close
16-01-2015,375.0,375.0,1.0,375.0,375.0,375.0
20-01-2015,375.0,375.0,0.0,375.0,375.0,375.0
21-01-2015,375.0,375.0,0.0,375.0,375.0,375.0
22-01-2015,375.0,375.0,0.0,375.0,375.0,375.0
23-01-2015,375.0,375.0,0.0,375.0,375.0,375.0
26-01-2015,375.0,375.0,0.0,375.0,375.0,375.0
27-01-2015,375.0,375.0,0.0,375.0,375.0,375.0
28-01-2015,375.0,375.0,0.0,375.0,375.0,375.0
29-01-2015,375.0,375.0,0.0,375.0,375.0,375.0
30-01-2015,375.0,375.0,0.0,375.0,375.0,375.0
02-02-2015,375.0,375.0,0.0,375.0,375.0,375.0
03-02-2015,375.0,375.0,0.0,375.0,375.0,375.0
04-02-2015,375.0,375.0,0.0,375.0,375.0,375.0
05-02-2015,375.0,375.0,0.0,375.0,375.0,375.0
06-02-2015,375.0,375.0,0.0,375.0,375.0,375.0
09-02-2015,375.0,375.0,0.0,375.0,375.0,375.0
10-02-2015,375.0,375.0,0.0,375.0,375.0,375.0
11-02-2015,375.0,375.0,0.0,375.0,375.0,375.0
12-02-2015,375.0,375.0,0.0,375.0,375.0,375.0
13-02-2015,375.0,375.0,0.0,375.0,375.0,375.0
17-02-2015,175.0,175.0,1.0,175.0,175.0,175.0
18-02-2015,175.0,175.0,0.0,175.0,175.0,175.0
19-02-2015,175.0,175.0,0.0,175.0,175.0,175.0
20-02-2015,175.0,175.0,0.0,175.0,175.0,175.0
23-02-2015,175.0,175.0,0.0,175.0,175.0,175.0
24-02-2015,175.0,175.0,0.0,175.0,175.0,175.0
25-02-2015,175.0,175.0,0.0,175.0,175.0,175.0
26-02-2015,175.0,175.0,0.0,175.0,175.0,175.0
27-02-2015,175.0,175.0,0.0,175.0,175.0,175.0
02-03-2015,175.0,175.0,0.0,175.0,175.0,175.0
03-03-2015,175.0,175.0,0.0,175.0,175.0,175.0
04-03-2015,175.0,175.0,0.0,175.0,175.0,175.0
05-03-2015,175.0,175.0,0.0,175.0,175.0,175.0
06-03-2015,175.0,175.0,0.0,175.0,175.0,175.0
09-03-2015,175.0,175.0,0.0,175.0,175.0,175.0
10-03-2015,175.0,175.0,0.0,175.0,175.0,175.0
11-03-2015,175.0,175.0,0.0,175.0,175.0,175.0
12-03-2015,175.0,175.0,0.0,175.0,175.0,175.0
13-03-2015,175.0,175.0,0.0,175.0,175.0,175.0
16-03-2015,175.0,175.0,0.0,175.0,175.0,175.0
17-03-2015,175.0,175.0,0.0,175.0,175.0,175.0
18-03-2015,175.0,175.0,0.0,175.0,175.0,175.0
19-03-2015,175.0,175.0,0.0,175.0,175.0,175.0
20-03-2015,175.0,175.0,0.0,175.0,175.0,175.0
23-03-2015,175.0,175.0,0.0,175.0,175.0,175.0
24-03-2015,175.0,175.0,0.0,175.0,175.0,175.0
25-03-2015,175.0,175.0,0.0,175.0,175.0,175.0
26-03-2015,175.0,175.0,0.0,175.0,175.0,175.0
27-03-2015,175.0,175.0,0.0,175.0,175.0,175.0
30-03-2015,175.0,175.0,0.0,175.0,175.0,175.0
31-03-2015,175.0,175.0,0.0,175.0,175.0,175.0
01-04-2015,175.0,175.0,0.0,175.0,175.0,175.0
02-04-2015,175.0,175.0,0.0,175.0,175.0,175.0
06-04-2015,175.0,175.0,0.0,175.0,175.0,175.0
07-04-2015,175.0,175.0,0.0,175.0,175.0,175.0
08-04-2015,175.0,175.0,0.0,175.0,175.0,175.0
09-04-2015,175.0,175.0,0.0,175.0,175.0,175.0
10-04-2015,175.0,175.0,0.0,175.0,175.0,175.0
13-04-2015,175.0,175.0,0.0,175.0,175.0,175.0
14-04-2015,175.0,175.0,0.0,175.0,175.0,175.0
15-04-2015,175.0,175.0,0.0,175.0,175.0,175.0
16-04-2015,175.0,175.0,0.0,175.0,175.0,175.0
17-04-2015,175.0,175.0,0.0,175.0,175.0,175.0
20-04-2015,175.0,175.0,0.0,175.0,175.0,175.0
21-04-2015,175.0,175.0,0.0,175.0,175.0,175.0
22-04-2015,175.0,175.0,0.0,175.0,175.0,175.0
23-04-2015,175.0,175.0,0.0,175.0,175.0,175.0
24-04-2015,175.0,175.0,0.0,175.0,175.0,175.0
27-04-2015,175.0,175.0,0.0,175.0,175.0,175.0
28-04-2015,175.0,175.0,0.0,175.0,175.0,175.0
29-04-2015,175.0,175.0,0.0,175.0,175.0,175.0
30-04-2015,175.0,175.0,0.0,175.0,175.0,175.0
01-05-2015,175.0,175.0,0.0,175.0,175.0,175.0
04-05-2015,175.0,175.0,0.0,175.0,175.0,175.0
05-05-2015,175.0,175.0,0.0,175.0,175.0,175.0
06-05-2015,175.0,175.0,0.0,175.0,175.0,175.0
07-05-2015,175.0,175.0,0.0,175.0,175.0,175.0
08-05-2015,175.0,175.0,0.0,175.0,175.0,175.0
11-05-2015,175.0,175.0,0.0,175.0,175.0,175.0
12-05-2015,175.0,175.0,0.0,175.0,175.0,175.0
13-05-2015,175.0,175.0,0.0,175.0,175.0,175.0
14-05-2015,175.0,175.0,0.0,175.0,175.0,175.0
15-05-2015,175.0,175.0,0.0,175.0,175.0,175.0
18-05-2015,175.0,175.0,0.0,175.0,175.0,175.0
19-05-2015,175.0,175.0,0.0,175.0,175.0,175.0
20-05-2015,175.0,175.0,0.0,175.0,175.0,175.0
21-05-2015,175.0,175.0,0.0,175.0,175.0,175.0
22-05-2015,175.0,175.0,0.0,175.0,175.0,175.0
26-05-2015,500.0,500.0,1.0,500.0,500.0,500.0
27-05-2015,500.0,500.0,0.0,500.0,500.0,500.0
28-05-2015,500.0,500.0,0.0,500.0,500.0,500.0
29-05-2015,500.0,500.0,0.0,500.0,500.0,500.0
01-06-2015,500.0,500.0,0.0,500.0,500.0,500.0
02-06-2015,500.0,500.0,0.0,500.0,500.0,500.0
03-06-2015,177.0,177.0,10.0,177.0,177.0,177.0
04-06-2015,177.0,177.0,0.0,177.0,177.0,177.0
05-06-2015,177.0,177.0,0.0,177.0,177.0,177.0
08-06-2015,177.0,177.0,0.0,177.0,177.0,177.0
09-06-2015,177.0,177.0,0.0,177.0,177.0,177.0
10-06-2015,177.0,177.0,0.0,177.0,177.0,177.0
11-06-2015,177.0,177.0,0.0,177.0,177.0,177.0
12-06-2015,177.0,177.0,0.0,177.0,177.0,177.0
15-06-2015,177.0,177.0,0.0,177.0,177.0,177.0
16-06-2015,177.0,177.0,0.0,177.0,177.0,177.0
17-06-2015,177.0,177.0,0.0,177.0,177.0,177.0
18-06-2015,177.0,177.0,0.0,177.0,177.0,177.0
19-06-2015,177.0,177.0,0.0,177.0,177.0,177.0
22-06-2015,177.0,177.0,0.0,177.0,177.0,177.0
23-06-2015,177.0,177.0,0.0,177.0,177.0,177.0
24-06-2015,177.0,177.0,0.0,177.0,177.0,177.0
25-06-2015,177.0,177.0,0.0,177.0,177.0,177.0
26-06-2015,177.0,177.0,0.0,177.0,177.0,177.0
29-06-2015,177.0,177.0,0.0,177.0,177.0,177.0
30-06-2015,177.0,177.0,0.0,177.0,177.0,177.0
01-07-2015,177.0,177.0,0.0,177.0,177.0,177.0
02-07-2015,177.0,177.0,0.0,177.0,177.0,177.0
06-07-2015,177.0,177.0,0.0,177.0,177.0,177.0
07-07-2015,177.0,177.0,0.0,177.0,177.0,177.0
08-07-2015,177.0,177.0,0.0,177.0,177.0,177.0
09-07-2015,177.0,177.0,0.0,177.0,177.0,177.0
10-07-2015,177.0,177.0,0.0,177.0,177.0,177.0
13-07-2015,177.0,177.0,0.0,177.0,177.0,177.0
14-07-2015,177.0,177.0,0.0,177.0,177.0,177.0
15-07-2015,177.0,177.0,0.0,177.0,177.0,177.0
16-07-2015,177.0,177.0,0.0,177.0,177.0,177.0
17-07-2015,177.0,177.0,0.0,177.0,177.0,177.0
20-07-2015,177.0,177.0,0.0,177.0,177.0,177.0
21-07-2015,177.0,177.0,0.0,177.0,177.0,177.0
22-07-2015,177.0,177.0,0.0,177.0,177.0,177.0
23-07-2015,177.0,177.0,0.0,177.0,177.0,177.0
24-07-2015,177.0,177.0,0.0,177.0,177.0,177.0
27-07-2015,177.0,177.0,0.0,177.0,177.0,177.0
28-07-2015,177.0,177.0,0.0,177.0,177.0,177.0
29-07-2015,177.0,177.0,0.0,177.0,177.0,177.0
30-07-2015,177.0,177.0,0.0,177.0,177.0,177.0
31-07-2015,177.0,177.0,0.0,177.0,177.0,177.0
03-08-2015,177.0,177.0,0.0,177.0,177.0,177.0
04-08-2015,177.0,177.0,0.0,177.0,177.0,177.0
05-08-2015,177.0,177.0,0.0,177.0,177.0,177.0
06-08-2015,177.0,177.0,0.0,177.0,177.0,177.0
07-08-2015,177.0,177.0,0.0,177.0,177.0,177.0
10-08-2015,177.0,177.0,0.0,177.0,177.0,177.0
11-08-2015,177.0,177.0,0.0,177.0,177.0,177.0
12-08-2015,177.0,177.0,0.0,177.0,177.0,177.0
13-08-2015,177.0,177.0,0.0,177.0,177.0,177.0
14-08-2015,177.0,177.0,0.0,177.0,177.0,177.0
17-08-2015,177.0,177.0,0.0,177.0,177.0,177.0
18-08-2015,177.0,177.0,0.0,177.0,177.0,177.0
19-08-2015,177.0,177.0,0.0,177.0,177.0,177.0
20-08-2015,177.0,177.0,0.0,177.0,177.0,177.0
21-08-2015,177.0,177.0,0.0,177.0,177.0,177.0
24-08-2015,177.0,177.0,0.0,177.0,177.0,177.0
25-08-2015,177.0,177.0,0.0,177.0,177.0,177.0
26-08-2015,177.0,177.0,0.0,177.0,177.0,177.0
27-08-2015,177.0,177.0,0.0,177.0,177.0,177.0
28-08-2015,177.0,177.0,0.0,177.0,177.0,177.0
31-08-2015,177.0,177.0,0.0,177.0,177.0,177.0
01-09-2015,177.0,177.0,0.0,177.0,177.0,177.0
02-09-2015,177.0,177.0,0.0,177.0,177.0,177.0
03-09-2015,177.0,177.0,0.0,177.0,177.0,177.0
04-09-2015,177.0,177.0,0.0,177.0,177.0,177.0
08-09-2015,177.0,177.0,0.0,177.0,177.0,177.0
09-09-2015,177.0,177.0,0.0,177.0,177.0,177.0
10-09-2015,177.0,177.0,0.0,177.0,177.0,177.0
11-09-2015,177.0,177.0,0.0,177.0,177.0,177.0
14-09-2015,177.0,177.0,0.0,177.0,177.0,177.0
15-09-2015,177.0,177.0,0.0,177.0,177.0,177.0
16-09-2015,177.0,177.0,0.0,177.0,177.0,177.0
17-09-2015,177.0,177.0,0.0,177.0,177.0,177.0
18-09-2015,177.0,177.0,0.0,177.0,177.0,177.0
21-09-2015,177.0,177.0,0.0,177.0,177.0,177.0
22-09-2015,177.0,177.0,0.0,177.0,177.0,177.0
23-09-2015,177.0,177.0,0.0,177.0,177.0,177.0
24-09-2015,177.0,177.0,0.0,177.0,177.0,177.0
25-09-2015,177.0,177.0,0.0,177.0,177.0,177.0
28-09-2015,177.0,177.0,0.0,177.0,177.0,177.0
29-09-2015,177.0,177.0,0.0,177.0,177.0,177.0
30-09-2015,177.0,177.0,0.0,177.0,177.0,177.0
01-10-2015,177.0,177.0,0.0,177.0,177.0,177.0
02-10-2015,177.0,177.0,0.0,177.0,177.0,177.0
05-10-2015,177.0,177.0,0.0,177.0,177.0,177.0
06-10-2015,177.0,177.0,0.0,177.0,177.0,177.0
07-10-2015,177.0,177.0,0.0,177.0,177.0,177.0
08-10-2015,177.0,177.0,0.0,177.0,177.0,177.0
09-10-2015,177.0,177.0,0.0,177.0,177.0,177.0
