Date,Low,Open,Volume,High,Close,Adjusted Close
22-09-2010,15.12600040435791,15.12600040435791,250.0,15.788000106811523,15.788000106811523,15.788000106811523
23-09-2010,15.949000358581543,15.949000358581543,110.0,15.949000358581543,15.949000358581543,15.949000358581543
24-09-2010,17.0049991607666,17.0049991607666,3630.0,17.100000381469727,17.084999084472656,17.084999084472656
27-09-2010,16.139999389648438,16.139999389648438,220.0,16.139999389648438,16.139999389648438,16.139999389648438
28-09-2010,,,,,,
29-09-2010,,,,,,
30-09-2010,,,,,,
01-10-2010,,,,,,
04-10-2010,,,,,,
05-10-2010,,,,,,
06-10-2010,,,,,,
07-10-2010,,,,,,
08-10-2010,,,,,,
11-10-2010,,,,,,
12-10-2010,,,,,,
13-10-2010,,,,,,
14-10-2010,,,,,,
15-10-2010,,,,,,
18-10-2010,,,,,,
19-10-2010,,,,,,
20-10-2010,,,,,,
21-10-2010,,,,,,
22-10-2010,,,,,,
25-10-2010,,,,,,
26-10-2010,,,,,,
27-10-2010,,,,,,
28-10-2010,,,,,,
29-10-2010,,,,,,
01-11-2010,,,,,,
02-11-2010,,,,,,
03-11-2010,,,,,,
04-11-2010,,,,,,
05-11-2010,,,,,,
08-11-2010,,,,,,
09-11-2010,,,,,,
10-11-2010,,,,,,
11-11-2010,,,,,,
12-11-2010,,,,,,
15-11-2010,,,,,,
16-11-2010,,,,,,
17-11-2010,,,,,,
18-11-2010,,,,,,
19-11-2010,,,,,,
22-11-2010,,,,,,
23-11-2010,,,,,,
24-11-2010,,,,,,
26-11-2010,,,,,,
29-11-2010,,,,,,
30-11-2010,,,,,,
01-12-2010,,,,,,
02-12-2010,,,,,,
03-12-2010,,,,,,
06-12-2010,,,,,,
07-12-2010,,,,,,
08-12-2010,,,,,,
09-12-2010,,,,,,
10-12-2010,,,,,,
13-12-2010,,,,,,
14-12-2010,,,,,,
15-12-2010,,,,,,
16-12-2010,15.029999732971191,15.029999732971191,2000.0,15.03499984741211,15.03499984741211,15.03499984741211
17-12-2010,15.100000381469727,15.100000381469727,80.0,15.100000381469727,15.100000381469727,15.100000381469727
20-12-2010,,,,,,
21-12-2010,,,,,,
22-12-2010,,,,,,
23-12-2010,,,,,,
27-12-2010,,,,,,
28-12-2010,,,,,,
29-12-2010,,,,,,
30-12-2010,,,,,,
31-12-2010,,,,,,
03-01-2011,,,,,,
04-01-2011,,,,,,
05-01-2011,,,,,,
06-01-2011,,,,,,
07-01-2011,,,,,,
10-01-2011,,,,,,
11-01-2011,,,,,,
