Date,Low,Open,Volume,High,Close,Adjusted Close
16-01-2007,481.76300048828125,522.4869995117188,3436.0,522.4869995117188,483.8370056152344,220.44577026367188
17-01-2007,489.25,512.25,288.0,512.25,489.75,223.13983154296875
18-01-2007,490.0,499.32501220703125,340.0,499.9750061035156,491.9129943847656,224.12535095214844
19-01-2007,475.75,481.26300048828125,60.0,496.25,479.5870056152344,218.50938415527344
22-01-2007,493.5,493.5,108.0,500.0,500.0,227.80995178222656
23-01-2007,456.5,456.5,24.0,498.25,498.25,227.01258850097656
24-01-2007,494.75,510.0,72.0,510.0,494.75,225.4178924560547
25-01-2007,494.75,510.0,72.0,510.0,494.75,225.4178924560547
29-01-2007,456.5,477.13800048828125,1804.0,499.0,462.26300048828125,210.61622619628906
31-01-2007,452.5,452.75,960.0,494.5,468.81201171875,213.60006713867188
01-02-2007,462.76300048828125,481.25,84.0,487.5,462.76300048828125,210.843994140625
02-02-2007,474.75,475.0,528.0,487.5,486.625,221.716064453125
05-02-2007,487.5,487.5,7600.0,560.0,527.9630126953125,240.55047607421875
06-02-2007,499.75,499.75,5168.0,574.5,553.25,252.0717315673828
07-02-2007,562.5,575.0,1128.0,575.0,566.7869873046875,258.2394104003906
08-02-2007,550.0,573.7249755859375,276.0,573.7249755859375,562.8380126953125,256.4402160644531
09-02-2007,508.75,508.75,196.0,567.25,528.75,240.90908813476562
12-02-2007,504.75,512.5,192.0,518.75,505.04998779296875,230.11085510253906
13-02-2007,499.75,500.0,188.0,510.0,501.9750061035156,228.70977783203125
14-02-2007,487.5,490.0,88.0,512.25,505.0,230.0880584716797
15-02-2007,502.5,507.5,112.0,512.5,507.5,231.22711181640625
19-02-2007,487.5,487.5,24.0,517.5,500.26300048828125,227.9298095703125
20-02-2007,492.5,492.5,24.0,495.01300048828125,495.01300048828125,225.53778076171875
21-02-2007,453.0,494.0,1200.0,494.0,478.9129943847656,218.20225524902344
22-02-2007,480.125,497.25,48.0,497.25,480.76300048828125,219.0452117919922
23-02-2007,486.51300048828125,525.0,1404.0,548.4869995117188,487.5249938964844,222.1260986328125
26-02-2007,487.5,497.5,368.0,497.75,487.5,222.11465454101562
