Date,Low,Open,Volume,High,Close,Adjusted Close
21-04-1989,60.0,0.0,75900,60.0,60.0,2.3159313201904297
24-04-1989,60.0,0.0,1800,60.0,60.0,2.3159313201904297
25-04-1989,60.0,0.0,3600,60.0,60.0,2.3159313201904297
26-04-1989,60.0,0.0,700,60.0,60.0,2.3159313201904297
27-04-1989,60.0,0.0,2800,60.625,60.0,2.3159313201904297
28-04-1989,60.0,0.0,4200,60.0,60.0,2.3159313201904297
01-05-1989,60.0,0.0,4600,60.625,60.625,2.340052366256714
02-05-1989,60.0,0.0,1200,60.625,60.625,2.340052366256714
03-05-1989,60.0,0.0,1200,60.625,60.0,2.3159313201904297
04-05-1989,60.0,0.0,1500,60.0,60.0,2.3159313201904297
05-05-1989,60.0,0.0,1000,60.625,60.0,2.3159313201904297
08-05-1989,60.0,0.0,600,60.625,60.625,2.340052366256714
09-05-1989,60.0,0.0,2800,60.625,60.0,2.3159313201904297
10-05-1989,60.0,0.0,2600,60.0,60.0,2.3159313201904297
11-05-1989,60.0,0.0,2500,60.0,60.0,2.3159313201904297
12-05-1989,60.0,0.0,4600,60.625,60.0,2.3159313201904297
15-05-1989,60.0,0.0,2700,60.625,60.0,2.3159313201904297
16-05-1989,60.0,0.0,900,60.625,60.625,2.340052366256714
17-05-1989,60.0,0.0,400,60.625,60.625,2.340052366256714
18-05-1989,60.0,0.0,1600,60.625,60.0,2.3159313201904297
19-05-1989,60.0,0.0,1000,60.0,60.0,2.3159313201904297
22-05-1989,60.0,0.0,400,60.625,60.0,2.3159313201904297
23-05-1989,60.0,0.0,2700,60.625,60.0,2.3159313201904297
24-05-1989,60.0,0.0,500,60.0,60.0,2.3159313201904297
25-05-1989,60.0,0.0,1500,60.0,60.0,2.3159313201904297
26-05-1989,60.0,0.0,300,60.625,60.0,2.3159313201904297
30-05-1989,60.0,0.0,1500,60.625,60.0,2.3159313201904297
31-05-1989,60.0,0.0,1000,60.625,60.0,2.3159313201904297
01-06-1989,60.0,0.0,400,60.625,60.0,2.3159313201904297
02-06-1989,58.125,0.0,31100,60.0,58.75,2.26768159866333
05-06-1989,58.125,0.0,9500,58.75,58.125,2.243558406829834
06-06-1989,58.125,0.0,5100,58.75,58.125,2.243558406829834
07-06-1989,58.125,0.0,900,58.75,58.125,2.243558406829834
08-06-1989,57.5,0.0,3400,58.125,57.5,2.2194323539733887
09-06-1989,57.5,0.0,1100,58.125,57.5,2.238901376724243
12-06-1989,57.5,0.0,700,58.125,57.5,2.238901376724243
13-06-1989,57.5,0.0,600,58.125,57.5,2.238901376724243
14-06-1989,58.125,0.0,3700,58.75,58.125,2.263239622116089
15-06-1989,58.125,0.0,2800,58.75,58.125,2.263239622116089
16-06-1989,58.125,0.0,1900,58.75,58.75,2.2875733375549316
19-06-1989,58.125,0.0,1100,58.75,58.125,2.263239622116089
20-06-1989,58.125,0.0,2700,58.75,58.125,2.263239622116089
21-06-1989,58.125,0.0,5300,58.75,58.125,2.263239622116089
22-06-1989,58.125,0.0,2500,58.75,58.75,2.2875733375549316
23-06-1989,58.125,0.0,1100,58.75,58.125,2.263239622116089
26-06-1989,58.125,0.0,1300,58.75,58.125,2.263239622116089
27-06-1989,58.125,0.0,900,58.75,58.75,2.2875733375549316
28-06-1989,58.75,0.0,1900,58.75,58.75,2.2875733375549316
29-06-1989,58.75,0.0,1400,59.375,58.75,2.2875733375549316
30-06-1989,59.375,59.375,2400,60.0,59.375,2.311908483505249
03-07-1989,58.75,58.75,500,58.75,58.75,2.2875733375549316
05-07-1989,59.375,59.375,4100,60.0,60.0,2.336246967315674
06-07-1989,59.375,59.375,1600,60.0,59.375,2.311908483505249
07-07-1989,58.75,59.375,1800,59.375,58.75,2.2875733375549316
10-07-1989,57.5,57.5,400,58.125,57.5,2.2610316276550293
11-07-1989,57.5,57.5,500,58.125,57.5,2.2610316276550293
12-07-1989,57.5,57.5,1700,58.75,58.125,2.2856082916259766
13-07-1989,56.25,57.5,1100,57.5,56.875,2.2364554405212402
